Tanggal,Tahun,Bulan,NamaBulan,Minggu,PKS,KodePKS,Wilayah,KapasitasPKS_TonPerJam,TBS_Olah_Ton,JamOlah,KapasitasTerpakai_Persen,CPO_Ton,PK_Ton,OER_Persen,KER_Persen,TargetOER_Persen,GapOER_Persen,TotalOilLoss_Persen,TotalKernelLoss_Persen,ALB_CPO_Persen,KadarAir_CPO_Persen,KadarKotoran_CPO_Persen,JanjangMentahRata2_Persen,RestanTBSRata2_Jam,Downtime_Jam,NilaiCPO_Rp,PotensiKehilanganOER_Rp
2026-03-02,2026,3,Mar,10,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,545.1,10.8,84.1,122.21,25.02,22.42,4.59,23.2,-0.78,1.98,1.487,2.57,0.162,0.0165,2.28,12.6,0.8,1636269690,56927082
2026-03-03,2026,3,Mar,10,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,659.1,13.3,82.6,147.44,29.33,22.37,4.45,23.2,-0.83,2.098,1.538,2.72,0.161,0.0197,2.45,13.5,1.2,1974074160,73244926
2026-03-04,2026,3,Mar,10,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,612.8,10.6,96.4,136.1,28.19,22.21,4.6,23.2,-0.99,1.962,1.446,2.71,0.131,0.0189,2.59,16.5,1.3,1822242900,81227314
2026-03-05,2026,3,Mar,10,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,610.8,10.6,96.0,135.6,28.16,22.2,4.61,23.2,-1.0,2.044,1.436,2.93,0.165,0.0114,2.68,13.1,1.6,1815548400,81780012
2026-03-06,2026,3,Mar,10,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,626.1,11.8,88.4,138.18,28.55,22.07,4.56,23.2,-1.13,1.996,1.467,2.72,0.178,0.0138,2.78,11.4,1.9,1850092020,94726237
2026-03-07,2026,3,Mar,10,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,600.8,10.4,96.3,133.98,26.8,22.3,4.46,23.2,-0.9,1.907,1.444,2.58,0.192,0.0211,2.71,13.4,2.7,1793858219,72397000
2026-03-09,2026,3,Mar,11,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,615.0,11.6,88.4,136.04,27.98,22.12,4.55,23.2,-1.08,2.079,1.499,2.59,0.145,0.0225,2.61,13.2,0.0,1821439560,88929737
2026-03-10,2026,3,Mar,11,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,632.1,11.7,90.0,139.63,28.7,22.09,4.54,23.2,-1.11,2.105,1.48,2.66,0.16,0.0214,1.75,13.3,2.9,1869506070,93941374
2026-03-11,2026,3,Mar,11,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,623.7,11.6,89.6,137.9,28.69,22.11,4.6,23.2,-1.09,2.049,1.414,2.74,0.153,0.0179,2.55,12.9,2.0,1846343100,91022840
2026-03-12,2026,3,Mar,11,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,567.0,9.7,97.4,124.68,25.29,21.99,4.46,23.2,-1.21,1.908,1.429,2.42,0.218,0.0151,3.25,15.4,1.8,1669340520,91857912
2026-03-13,2026,3,Mar,11,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,554.1,10.1,91.4,123.23,25.05,22.24,4.52,23.2,-0.96,2.055,1.518,2.62,0.206,0.0185,1.48,13.2,1.5,1649926470,71220911
2026-03-14,2026,3,Mar,11,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,594.6,10.8,91.8,131.29,26.88,22.08,4.52,23.2,-1.12,2.114,1.526,2.77,0.148,0.0211,2.32,17.8,0.3,1757841810,89164313
2026-03-16,2026,3,Mar,12,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,633.5,11.0,96.0,141.33,28.32,22.31,4.47,23.2,-0.89,2.003,1.458,2.79,0.219,0.0179,2.23,15.9,0.0,1892267370,75489190
2026-03-17,2026,3,Mar,12,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,586.2,10.5,93.0,131.54,26.97,22.44,4.6,23.2,-0.76,2.037,1.472,2.75,0.148,0.0225,2.39,13.5,1.2,1761189060,59649601
2026-03-18,2026,3,Mar,12,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,571.1,11.1,85.8,127.3,26.21,22.29,4.59,23.2,-0.91,1.981,1.442,2.92,0.154,0.0201,2.52,10.9,1.5,1704419700,69582766
2026-03-19,2026,3,Mar,12,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,569.9,11.3,84.1,126.12,25.36,22.13,4.45,23.2,-1.07,1.962,1.596,2.74,0.152,0.0212,2.66,13.7,1.4,1688620680,81645184
2026-03-20,2026,3,Mar,12,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,628.9,11.9,88.1,138.36,28.24,22.0,4.49,23.2,-1.2,2.056,1.464,2.66,0.158,0.0269,2.65,13.7,1.2,1852502040,101044105
2026-03-21,2026,3,Mar,12,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,542.9,9.7,93.3,121.01,24.65,22.29,4.54,23.2,-0.91,2.026,1.407,2.83,0.197,0.0219,2.7,16.2,1.7,1620202890,66146881
2026-03-23,2026,3,Mar,13,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,584.9,10.8,90.3,130.84,26.85,22.37,4.59,23.2,-0.83,2.006,1.499,2.47,0.165,0.0182,2.69,13.2,1.3,1751816760,64999176
2026-03-24,2026,3,Mar,13,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,618.4,11.5,89.6,137.35,28.57,22.21,4.62,23.2,-0.99,2.057,1.489,2.77,0.179,0.0282,2.69,15.8,0.0,1838979150,81969600
2026-03-25,2026,3,Mar,13,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,631.1,12.2,86.2,138.4,28.97,21.93,4.59,23.2,-1.27,2.19,1.482,2.71,0.211,0.017,2.79,14.4,0.0,1853037600,107312433
2026-03-26,2026,3,Mar,13,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,645.9,12.7,84.8,143.52,28.74,22.22,4.45,23.2,-0.98,2.026,1.549,2.61,0.17,0.0205,2.5,15.2,1.5,1921589280,84749959
2026-03-27,2026,3,Mar,13,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,621.2,11.5,90.0,137.84,28.2,22.19,4.54,23.2,-1.01,1.999,1.509,2.5,0.167,0.0202,1.93,16.3,1.0,1845539760,84004192
2026-03-28,2026,3,Mar,13,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,627.8,12.6,83.0,139.5,28.5,22.22,4.54,23.2,-0.98,2.012,1.47,2.57,0.098,0.0156,2.31,13.5,1.2,1867765500,82375019
2026-03-30,2026,3,Mar,14,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,623.5,11.0,94.5,137.61,28.43,22.07,4.56,23.2,-1.13,2.106,1.465,2.63,0.172,0.027,3.41,11.8,2.8,1842460290,94332868
2026-03-31,2026,3,Mar,14,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,616.0,11.7,87.7,137.61,28.15,22.34,4.57,23.2,-0.86,2.021,1.454,2.55,0.199,0.0212,2.39,13.4,3.2,1842460290,70929566
2026-04-01,2026,4,Apr,14,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,692.4,12.2,94.6,153.3,31.02,22.14,4.48,23.2,-1.06,2.119,1.521,2.57,0.248,0.0148,2.58,12.3,2.5,2058359100,98546660
2026-04-02,2026,4,Apr,14,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,690.8,12.3,93.6,151.77,31.78,21.97,4.6,23.2,-1.23,2.303,1.509,2.63,0.156,0.0171,2.54,15.6,3.2,2037815790,114087070
2026-04-03,2026,4,Apr,14,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,701.6,11.9,98.3,152.6,31.99,21.75,4.56,23.2,-1.45,2.312,1.487,2.94,0.146,0.0202,3.12,11.5,2.4,2048960200,136595556
2026-04-04,2026,4,Apr,14,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,679.6,12.7,89.2,148.56,31.53,21.86,4.64,23.2,-1.34,2.17,1.439,2.95,0.235,0.0168,2.76,14.6,2.3,1994715120,122274855
2026-04-06,2026,4,Apr,15,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,670.5,12.1,92.4,146.17,29.43,21.8,4.39,23.2,-1.4,2.332,1.568,2.8,0.228,0.014,2.37,13.7,2.1,1962624589,126039248
2026-04-07,2026,4,Apr,15,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,678.1,12.6,89.7,147.22,30.24,21.71,4.46,23.2,-1.49,2.273,1.582,2.7,0.166,0.0141,2.43,11.9,2.9,1976722940,135662245
2026-04-08,2026,4,Apr,15,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,692.1,14.0,82.4,153.3,30.18,22.15,4.36,23.2,-1.05,2.173,1.564,2.57,0.205,0.0133,2.45,13.2,1.4,2058359100,97574680
2026-04-09,2026,4,Apr,15,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,621.5,12.4,83.5,136.23,28.09,21.92,4.52,23.2,-1.28,2.25,1.513,2.51,0.176,0.0188,2.81,15.8,2.8,1829160209,106814470
2026-04-10,2026,4,Apr,15,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,606.4,12.2,82.8,133.1,27.11,21.95,4.47,23.2,-1.25,2.191,1.6,2.67,0.143,0.0217,3.06,12.9,2.4,1787133700,101776660
2026-04-11,2026,4,Apr,15,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,658.3,11.9,92.2,145.75,30.22,22.14,4.59,23.2,-1.06,2.253,1.529,2.75,0.143,0.0131,3.28,12.3,1.9,1956985250,93693337
2026-04-13,2026,4,Apr,16,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,652.1,11.4,95.3,142.61,29.15,21.87,4.47,23.2,-1.33,2.339,1.545,2.74,0.122,0.0236,2.17,13.6,2.5,1914824470,116451431
2026-04-14,2026,4,Apr,16,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,699.6,14.1,82.7,154.12,31.34,22.03,4.48,23.2,-1.17,2.25,1.484,2.48,0.203,0.0233,2.85,13.2,1.3,2069369240,109904291
2026-04-15,2026,4,Apr,16,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,666.8,12.6,88.2,145.56,30.14,21.83,4.52,23.2,-1.37,2.25,1.507,2.78,0.182,0.0251,2.21,15.6,1.4,1954434120,122657793
2026-04-16,2026,4,Apr,16,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,618.9,12.5,82.5,135.54,28.47,21.9,4.6,23.2,-1.3,2.341,1.437,2.71,0.132,0.0239,2.38,14.4,2.5,1819895580,108029613
2026-04-17,2026,4,Apr,16,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,642.2,12.4,86.3,141.35,28.64,22.01,4.46,23.2,-1.19,2.153,1.562,2.76,0.174,0.0198,2.25,14.8,1.7,1897906450,102611550
2026-04-18,2026,4,Apr,16,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,576.8,10.0,96.1,126.43,26.07,21.92,4.52,23.2,-1.28,2.211,1.496,2.96,0.218,0.0122,2.58,16.6,1.3,1697575610,99132078
2026-04-20,2026,4,Apr,17,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,590.2,11.0,89.4,130.2,26.44,22.06,4.48,23.2,-1.14,2.295,1.598,2.82,0.147,0.0219,2.56,14.0,1.7,1748195399,90340615
2026-04-21,2026,4,Apr,17,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,651.5,11.1,97.8,142.16,29.77,21.82,4.57,23.2,-1.38,2.237,1.504,2.94,0.191,0.0197,2.42,13.3,2.9,1908782320,120718128
2026-04-22,2026,4,Apr,17,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,649.3,12.3,88.0,141.29,29.35,21.76,4.52,23.2,-1.44,2.332,1.537,2.61,0.155,0.0089,1.96,13.9,2.6,1897100830,125541375
2026-04-23,2026,4,Apr,17,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,666.2,11.6,95.7,147.96,29.45,22.21,4.42,23.2,-0.99,2.158,1.616,2.72,0.197,0.0186,2.32,15.2,2.6,1986658920,88556167
2026-04-24,2026,4,Apr,17,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,677.7,11.6,97.4,149.57,30.09,22.07,4.44,23.2,-1.13,2.213,1.573,3.01,0.182,0.019,2.83,16.3,1.9,2008276390,102824100
2026-04-25,2026,4,Apr,17,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,618.0,11.2,92.0,135.16,27.87,21.87,4.51,23.2,-1.33,2.29,1.513,2.71,0.138,0.0213,3.24,15.5,2.4,1814793320,110361883
2026-04-27,2026,4,Apr,18,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,592.6,11.4,86.6,130.19,26.61,21.97,4.49,23.2,-1.23,2.156,1.525,2.67,0.118,0.0095,3.41,16.0,2.9,1748061130,97869134
2026-04-28,2026,4,Apr,18,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,587.9,10.1,97.0,128.87,26.16,21.92,4.45,23.2,-1.28,2.252,1.64,2.61,0.184,0.0204,3.04,13.9,2.0,1730337490,101039786
2026-04-29,2026,4,Apr,18,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,638.0,11.5,92.5,139.79,29.16,21.91,4.57,23.2,-1.29,2.193,1.474,2.51,0.195,0.0158,1.96,13.4,1.6,1876960330,110506895
