Tanggal,Tahun,Bulan,NamaBulan,EstateKode,Estate,Wilayah,CurahHujan_mm,HariHujan,HariKerjaEfektif
2026-01-20,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-20,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-20,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-21,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,44.0,1,1
2026-01-21,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-21,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-21,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,38.4,1,1
2026-01-21,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-21,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-21,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-22,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-22,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,16.6,1,1
2026-01-22,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,23.6,1,1
2026-01-22,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,13.0,1,1
2026-01-22,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,7.8,1,1
2026-01-22,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-22,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-23,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,43.3,1,1
2026-01-23,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,9.1,1,1
2026-01-23,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,29.5,1,1
2026-01-23,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,30.2,1,1
2026-01-23,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,22.3,1,1
2026-01-23,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,38.1,1,1
2026-01-23,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,41.3,1,1
2026-01-24,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,40.1,1,1
2026-01-24,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-24,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,23.7,1,1
2026-01-24,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-24,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-24,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,60.0,1,0
2026-01-24,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,18.8,1,1
2026-01-25,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,10.2,1,1
2026-01-25,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-25,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-25,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,26.9,1,1
2026-01-25,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,36.2,1,1
2026-01-25,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,25.3,1,1
2026-01-25,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-26,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-26,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,8.3,1,1
2026-01-26,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,39.1,1,1
2026-01-26,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,28.8,1,1
2026-01-26,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,16.9,1,1
2026-01-26,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-26,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,23.6,1,1
2026-01-27,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-27,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-27,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,19.8,1,1
2026-01-27,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,17.4,1,1
2026-01-27,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,11.9,1,1
2026-01-27,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,27.0,1,1
2026-01-27,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,26.2,1,1
2026-01-28,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,40.2,1,1
2026-01-28,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-28,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,43.5,1,1
2026-01-28,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,30.6,1,1
2026-01-28,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-28,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,18.7,1,1
2026-01-28,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-29,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-29,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,23.1,1,1
2026-01-29,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-29,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,44.9,1,1
2026-01-29,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,47.9,1,1
2026-01-29,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-29,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-30,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,26.9,1,1
2026-01-30,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,36.5,1,1
2026-01-30,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,37.6,1,1
2026-01-30,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,38.2,1,1
2026-01-30,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,36.2,1,1
2026-01-30,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-30,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-31,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,50.5,1,1
2026-01-31,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-31,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,31.9,1,1
2026-01-31,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-31,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-31,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,5.8,1,1
2026-01-31,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-02-01,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-02-01,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-02-01,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-02-01,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-02-01,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-02-01,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,21.2,1,1
2026-02-01,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-02-02,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,31.5,1,1
2026-02-02,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,30.0,1,1
2026-02-02,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-02-02,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-02-02,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,27.8,1,1
2026-02-02,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,26.9,1,1
2026-02-02,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,8.4,1,1
2026-02-03,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,33.6,1,1
2026-02-03,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-02-03,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,26.7,1,1
2026-02-03,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,19.5,1,1
2026-02-03,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-02-03,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,31.9,1,1
2026-02-03,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,40.5,1,1
2026-02-04,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-02-04,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-02-04,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,21.5,1,1
2026-02-04,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-02-04,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,35.5,1,1
2026-02-04,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,46.1,1,1
2026-02-04,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,27.9,1,1
2026-02-05,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-02-05,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-02-05,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,11.8,1,1
2026-02-05,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-02-05,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,10.9,1,1
2026-02-05,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-02-05,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-02-06,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,23.4,1,1
2026-02-06,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,43.6,1,1
2026-02-06,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,27.0,1,1
2026-02-06,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,37.8,1,1
2026-02-06,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,50.2,1,1
2026-02-06,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-02-06,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-02-07,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-02-07,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,10.1,1,1
2026-02-07,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-02-07,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,11.0,1,1
2026-02-07,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-02-07,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,13.8,1,1
2026-02-07,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,21.0,1,1
2026-02-08,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,7.6,1,1
2026-02-08,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,38.9,1,1
2026-02-08,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-02-08,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,7.2,1,1
2026-02-08,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-02-08,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,35.4,1,1
2026-02-08,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-02-09,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,37.8,1,1
2026-02-09,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-02-09,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,13.6,1,1
2026-02-09,2026,2,Feb,SRK,Estate Sungai Rangkat,Kalimantan Barat,30.0,1,1
2026-02-09,2026,2,Feb,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-02-09,2026,2,Feb,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-02-09,2026,2,Feb,KPS,Estate Kampar Sentosa,Riau,13.4,1,1
2026-02-10,2026,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-02-10,2026,2,Feb,TJL,Estate Tanjung Lestari,Kalimantan Tengah,20.1,1,1
2026-02-10,2026,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,5.7,1,1
