SampelID,Tanggal,Bulan,NamaBulan,Minggu,PKS,KodePKS,Wilayah,KapasitasPKS_TonPerJam,Shift,Stasiun,JenisLosses,Basis,HasilAnalisa_Persen,StandarMaks_Persen,Deviasi_Persen,Status,Analis,MetodeUji,TBS_Olah_Ton,JamOlah,KapasitasTerpakai_Persen,SuhuRebusan_C,TekananRebusan_Bar,SiklusRebusan_Menit,TekananPress_Bar,JamOperasiPress_Kumulatif,JanjangMentahHariIni_Persen,RestanRata2_Jam
LS-000011,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.076,0.1,-0.024,Sesuai Standar,Nanda Wijaya,NMR,469.6,8.1,96.6,140.1,2.73,92.4,47.1,3200,3.14,12.7
LS-000012,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.485,0.6,-0.115,Sesuai Standar,Nanda Wijaya,Oven Kadar Air + Soxhlet,469.6,8.1,96.6,136.7,3.08,92.4,45.7,3200,3.14,12.7
LS-000013,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Biji / Nut,Oil Loss,% terhadap TBS olah,0.176,0.2,-0.024,Sesuai Standar,Umi Salamah,NMR,469.6,8.1,96.6,140.8,2.85,94.9,46.3,3200,3.14,12.7
LS-000014,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.453,0.55,-0.097,Sesuai Standar,Tirta Sanjaya,Soxhlet Ekstraksi,469.6,8.1,96.6,143.3,2.72,90.1,44.5,3200,3.14,12.7
LS-000015,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Fibre Cyclone,Kernel Loss,% terhadap TBS olah,0.546,0.6,-0.054,Sesuai Standar,Tirta Sanjaya,Oven Kadar Air + Soxhlet,469.6,8.1,96.6,141.6,2.99,85.6,43.2,3200,3.14,12.7
LS-000016,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Cangkang (LTDS),Kernel Loss,% terhadap TBS olah,0.451,0.55,-0.099,Sesuai Standar,Firman Ramadhan,NMR,469.6,8.1,96.6,137.9,2.76,95.4,47.2,3200,3.14,12.7
LS-000017,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Claybath,Kernel Loss,% terhadap TBS olah,0.301,0.35,-0.049,Sesuai Standar,Nanda Wijaya,NMR,469.6,8.1,96.6,138.7,2.81,89.9,48.0,3200,3.14,12.7
LS-000018,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Effluent,Kernel Loss,% terhadap TBS olah,0.042,0.05,-0.008,Sesuai Standar,Agus Prakoso,NMR,469.6,8.1,96.6,138.3,2.72,87.1,42.9,3200,3.14,12.7
LS-000019,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.351,0.45,-0.099,Sesuai Standar,Umi Salamah,Oven Kadar Air + Soxhlet,547.1,9.7,94.0,136.0,2.89,92.6,44.4,3200,2.73,12.8
LS-000020,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.089,0.1,-0.011,Sesuai Standar,Umi Salamah,Soxhlet Ekstraksi,547.1,9.7,94.0,139.0,2.81,88.2,48.9,3200,2.73,12.8
LS-000021,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.539,0.6,-0.061,Sesuai Standar,Nanda Wijaya,Soxhlet Ekstraksi,547.1,9.7,94.0,143.2,2.95,91.0,47.5,3200,2.73,12.8
LS-000022,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Biji / Nut,Oil Loss,% terhadap TBS olah,0.153,0.2,-0.047,Sesuai Standar,Tirta Sanjaya,Soxhlet Ekstraksi,547.1,9.7,94.0,138.4,3.01,91.7,43.8,3200,2.73,12.8
LS-000023,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.448,0.55,-0.102,Sesuai Standar,Nanda Wijaya,Oven Kadar Air + Soxhlet,547.1,9.7,94.0,138.1,2.89,92.0,46.5,3200,2.73,12.8
LS-000024,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Fibre Cyclone,Kernel Loss,% terhadap TBS olah,0.555,0.6,-0.045,Sesuai Standar,Tirta Sanjaya,NMR,547.1,9.7,94.0,136.4,2.92,87.7,48.9,3200,2.73,12.8
LS-000025,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Cangkang (LTDS),Kernel Loss,% terhadap TBS olah,0.498,0.55,-0.052,Sesuai Standar,Nanda Wijaya,NMR,547.1,9.7,94.0,139.0,2.93,91.0,46.6,3200,2.73,12.8
LS-000026,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Claybath,Kernel Loss,% terhadap TBS olah,0.273,0.35,-0.077,Sesuai Standar,Tirta Sanjaya,NMR,547.1,9.7,94.0,135.8,2.75,87.1,45.9,3200,2.73,12.8
LS-000027,2026-01-03,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Effluent,Kernel Loss,% terhadap TBS olah,0.04,0.05,-0.01,Sesuai Standar,Nanda Wijaya,Soxhlet Ekstraksi,547.1,9.7,94.0,137.2,3.22,95.7,50.3,3200,2.73,12.8
LS-000028,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.34,0.45,-0.11,Sesuai Standar,Agus Prakoso,Soxhlet Ekstraksi,495.5,8.8,93.8,137.0,2.71,87.1,51.8,3200,2.28,13.5
LS-000029,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.082,0.1,-0.018,Sesuai Standar,Firman Ramadhan,Soxhlet Ekstraksi,495.5,8.8,93.8,142.3,2.76,88.0,49.7,3200,2.28,13.5
LS-000030,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.477,0.6,-0.123,Sesuai Standar,Firman Ramadhan,NMR,495.5,8.8,93.8,138.6,2.84,92.4,48.7,3200,2.28,13.5
LS-000031,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Biji / Nut,Oil Loss,% terhadap TBS olah,0.182,0.2,-0.018,Sesuai Standar,Firman Ramadhan,NMR,495.5,8.8,93.8,137.4,2.79,90.3,44.5,3200,2.28,13.5
LS-000032,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.495,0.55,-0.055,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,495.5,8.8,93.8,134.0,2.97,92.4,49.0,3200,2.28,13.5
LS-000033,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Fibre Cyclone,Kernel Loss,% terhadap TBS olah,0.476,0.6,-0.124,Sesuai Standar,Umi Salamah,Soxhlet Ekstraksi,495.5,8.8,93.8,138.5,2.88,93.0,50.0,3200,2.28,13.5
LS-000034,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Cangkang (LTDS),Kernel Loss,% terhadap TBS olah,0.452,0.55,-0.098,Sesuai Standar,Nanda Wijaya,NMR,495.5,8.8,93.8,132.8,3.13,92.2,45.5,3200,2.28,13.5
LS-000035,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Claybath,Kernel Loss,% terhadap TBS olah,0.286,0.35,-0.064,Sesuai Standar,Nanda Wijaya,NMR,495.5,8.8,93.8,134.2,2.96,92.5,48.4,3200,2.28,13.5
LS-000036,2026-01-05,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Effluent,Kernel Loss,% terhadap TBS olah,0.043,0.05,-0.007,Sesuai Standar,Umi Salamah,NMR,495.5,8.8,93.8,138.1,3.02,88.2,43.7,3200,2.28,13.5
LS-000037,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.342,0.45,-0.108,Sesuai Standar,Firman Ramadhan,Oven Kadar Air + Soxhlet,494.0,9.3,88.5,140.8,2.79,92.4,43.6,3200,2.54,11.9
LS-000038,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.074,0.1,-0.026,Sesuai Standar,Firman Ramadhan,NMR,494.0,9.3,88.5,139.6,3.11,87.2,49.6,3200,2.54,11.9
LS-000039,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.551,0.6,-0.049,Sesuai Standar,Nanda Wijaya,Soxhlet Ekstraksi,494.0,9.3,88.5,139.7,2.78,87.1,43.0,3200,2.54,11.9
LS-000040,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Biji / Nut,Oil Loss,% terhadap TBS olah,0.173,0.2,-0.027,Sesuai Standar,Umi Salamah,Soxhlet Ekstraksi,494.0,9.3,88.5,134.7,2.74,90.4,48.7,3200,2.54,11.9
LS-000041,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.492,0.55,-0.058,Sesuai Standar,Tirta Sanjaya,NMR,494.0,9.3,88.5,134.7,3.0,93.5,45.5,3200,2.54,11.9
LS-000042,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Fibre Cyclone,Kernel Loss,% terhadap TBS olah,0.573,0.6,-0.027,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,494.0,9.3,88.5,128.3,3.21,92.2,46.6,3200,2.54,11.9
LS-000043,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Cangkang (LTDS),Kernel Loss,% terhadap TBS olah,0.506,0.55,-0.044,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,494.0,9.3,88.5,146.0,2.79,90.7,42.3,3200,2.54,11.9
LS-000044,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Claybath,Kernel Loss,% terhadap TBS olah,0.302,0.35,-0.048,Sesuai Standar,Firman Ramadhan,NMR,494.0,9.3,88.5,139.1,3.04,96.0,46.2,3200,2.54,11.9
LS-000045,2026-01-06,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Effluent,Kernel Loss,% terhadap TBS olah,0.039,0.05,-0.011,Sesuai Standar,Umi Salamah,Soxhlet Ekstraksi,494.0,9.3,88.5,142.9,2.8,86.4,49.0,3200,2.54,11.9
LS-000046,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.4,0.45,-0.05,Sesuai Standar,Tirta Sanjaya,NMR,481.4,8.5,94.4,137.1,3.13,90.7,45.6,3200,1.95,17.5
LS-000047,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.083,0.1,-0.017,Sesuai Standar,Firman Ramadhan,Soxhlet Ekstraksi,481.4,8.5,94.4,143.0,2.96,91.6,50.1,3200,1.95,17.5
LS-000048,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.575,0.6,-0.025,Sesuai Standar,Nanda Wijaya,Oven Kadar Air + Soxhlet,481.4,8.5,94.4,141.6,3.18,90.0,50.1,3200,1.95,17.5
LS-000049,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Biji / Nut,Oil Loss,% terhadap TBS olah,0.173,0.2,-0.027,Sesuai Standar,Umi Salamah,NMR,481.4,8.5,94.4,134.3,2.85,96.3,46.7,3200,1.95,17.5
LS-000050,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.526,0.55,-0.024,Sesuai Standar,Firman Ramadhan,Oven Kadar Air + Soxhlet,481.4,8.5,94.4,140.5,3.1,86.7,46.6,3200,1.95,17.5
LS-000051,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Fibre Cyclone,Kernel Loss,% terhadap TBS olah,0.544,0.6,-0.056,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,481.4,8.5,94.4,136.3,3.06,90.9,43.2,3200,1.95,17.5
LS-000052,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Cangkang (LTDS),Kernel Loss,% terhadap TBS olah,0.452,0.55,-0.098,Sesuai Standar,Tirta Sanjaya,Oven Kadar Air + Soxhlet,481.4,8.5,94.4,139.7,2.75,86.7,47.1,3200,1.95,17.5
LS-000053,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Claybath,Kernel Loss,% terhadap TBS olah,0.282,0.35,-0.068,Sesuai Standar,Tirta Sanjaya,Oven Kadar Air + Soxhlet,481.4,8.5,94.4,137.7,2.82,93.9,40.9,3200,1.95,17.5
LS-000054,2026-01-07,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Effluent,Kernel Loss,% terhadap TBS olah,0.039,0.05,-0.011,Sesuai Standar,Nanda Wijaya,Oven Kadar Air + Soxhlet,481.4,8.5,94.4,140.7,2.89,87.6,48.5,3200,1.95,17.5
LS-000055,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.398,0.45,-0.052,Sesuai Standar,Umi Salamah,NMR,561.0,10.5,89.0,132.3,3.1,93.6,45.8,3200,2.85,12.8
LS-000056,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.073,0.1,-0.027,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,561.0,10.5,89.0,136.5,2.93,86.4,45.5,3200,2.85,12.8
LS-000057,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.531,0.6,-0.069,Sesuai Standar,Umi Salamah,Oven Kadar Air + Soxhlet,561.0,10.5,89.0,136.4,2.78,92.0,49.0,3200,2.85,12.8
LS-000058,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Biji / Nut,Oil Loss,% terhadap TBS olah,0.164,0.2,-0.036,Sesuai Standar,Firman Ramadhan,NMR,561.0,10.5,89.0,136.2,3.0,90.5,48.1,3200,2.85,12.8
LS-000059,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.475,0.55,-0.075,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,561.0,10.5,89.0,139.1,2.71,90.6,49.5,3200,2.85,12.8
LS-000060,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Fibre Cyclone,Kernel Loss,% terhadap TBS olah,0.513,0.6,-0.087,Sesuai Standar,Tirta Sanjaya,Oven Kadar Air + Soxhlet,561.0,10.5,89.0,135.3,2.99,93.1,47.3,3200,2.85,12.8
LS-000061,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Cangkang (LTDS),Kernel Loss,% terhadap TBS olah,0.511,0.55,-0.039,Sesuai Standar,Firman Ramadhan,Soxhlet Ekstraksi,561.0,10.5,89.0,138.5,2.82,87.6,51.4,3200,2.85,12.8
LS-000062,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Claybath,Kernel Loss,% terhadap TBS olah,0.324,0.35,-0.026,Sesuai Standar,Umi Salamah,Soxhlet Ekstraksi,561.0,10.5,89.0,141.0,2.79,88.4,49.9,3200,2.85,12.8
LS-000063,2026-01-08,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Effluent,Kernel Loss,% terhadap TBS olah,0.041,0.05,-0.009,Sesuai Standar,Tirta Sanjaya,Soxhlet Ekstraksi,561.0,10.5,89.0,140.4,2.72,88.8,44.8,3200,2.85,12.8
LS-000064,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.362,0.45,-0.088,Sesuai Standar,Firman Ramadhan,NMR,495.9,9.8,84.3,136.1,2.81,87.5,40.8,3200,2.77,12.5
LS-000065,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.085,0.1,-0.015,Sesuai Standar,Umi Salamah,NMR,495.9,9.8,84.3,137.2,2.96,86.6,48.7,3200,2.77,12.5
LS-000066,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.476,0.6,-0.124,Sesuai Standar,Umi Salamah,Oven Kadar Air + Soxhlet,495.9,9.8,84.3,139.8,2.95,84.3,52.6,3200,2.77,12.5
LS-000067,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Biji / Nut,Oil Loss,% terhadap TBS olah,0.158,0.2,-0.042,Sesuai Standar,Tirta Sanjaya,Oven Kadar Air + Soxhlet,495.9,9.8,84.3,137.4,2.74,90.7,46.2,3200,2.77,12.5
LS-000068,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.448,0.55,-0.102,Sesuai Standar,Tirta Sanjaya,Soxhlet Ekstraksi,495.9,9.8,84.3,139.9,3.04,88.2,45.5,3200,2.77,12.5
LS-000069,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Fibre Cyclone,Kernel Loss,% terhadap TBS olah,0.465,0.6,-0.135,Sesuai Standar,Umi Salamah,NMR,495.9,9.8,84.3,142.3,2.96,84.0,45.2,3200,2.77,12.5
LS-000070,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Cangkang (LTDS),Kernel Loss,% terhadap TBS olah,0.431,0.55,-0.119,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,495.9,9.8,84.3,137.6,2.57,87.6,47.0,3200,2.77,12.5
LS-000071,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Claybath,Kernel Loss,% terhadap TBS olah,0.286,0.35,-0.064,Sesuai Standar,Tirta Sanjaya,Soxhlet Ekstraksi,495.9,9.8,84.3,137.8,3.1,92.9,51.2,3200,2.77,12.5
LS-000072,2026-01-09,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Effluent,Kernel Loss,% terhadap TBS olah,0.044,0.05,-0.006,Sesuai Standar,Tirta Sanjaya,Oven Kadar Air + Soxhlet,495.9,9.8,84.3,135.8,3.0,90.2,51.0,3200,2.77,12.5
LS-000073,2026-01-10,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.395,0.45,-0.055,Sesuai Standar,Nanda Wijaya,NMR,503.8,8.9,94.3,140.1,2.7,89.9,45.3,3200,3.1,13.6
LS-000074,2026-01-10,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.086,0.1,-0.014,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,503.8,8.9,94.3,140.6,2.97,90.4,49.1,3200,3.1,13.6
LS-000075,2026-01-10,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.512,0.6,-0.088,Sesuai Standar,Agus Prakoso,Soxhlet Ekstraksi,503.8,8.9,94.3,136.0,2.79,85.2,49.7,3200,3.1,13.6
LS-000076,2026-01-10,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Biji / Nut,Oil Loss,% terhadap TBS olah,0.175,0.2,-0.025,Sesuai Standar,Umi Salamah,NMR,503.8,8.9,94.3,138.2,2.87,90.1,48.1,3200,3.1,13.6
LS-000077,2026-01-10,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.437,0.55,-0.113,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,503.8,8.9,94.3,137.4,2.93,88.7,44.0,3200,3.1,13.6
