RekomendasiID,Tahun,BlokID,EstateKode,Estate,Wilayah,Afdeling,StatusKebun,LuasHa,JumlahPokok,UmurTanaman,JenisTanah,K_Daun_Persen,StatusK,NPK_13_6_27_4_KgPerPokok,MOP_KgPerPokok,Kieserite_KgPerPokok,Urea_KgPerPokok,RockPhosphate_KgPerPokok,Borate_KgPerPokok,TotalPupuk_Ton,EstimasiBiaya_Rp,Semester1_Persen,Semester2_Persen,DasarRekomendasi,DisusunOleh,DisetujuiOleh
RK-00020,2026,BSK-A-020,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,3668,15,Gambut,1.207,Optimum,3.44,1.5,0.85,1.25,0.75,0.18,29.23,245326432,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00021,2026,BSK-A-021,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.7,3920,19,Aluvial,1.226,Optimum,3.09,1.49,1.2,0.9,0.45,0.1,28.34,221125570,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00022,2026,BSK-A-022,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,3458,17,Gambut,1.172,Optimum,3.26,1.26,1.2,0.9,0.75,0.1,25.83,209063355,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00023,2026,BSK-A-023,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.7,3738,11,Mineral,1.116,Optimum,3.05,1.25,0.85,0.9,0.45,0.1,24.67,199374632,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00024,2026,BSK-A-024,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.0,4002,18,Mineral,1.072,Optimum,3.09,1.33,0.85,0.9,0.45,0.18,27.21,223190940,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00025,2026,BSK-B-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,28.2,3835,7,Gambut,1.097,Optimum,3.28,1.25,0.85,1.25,0.75,0.18,28.99,266137235,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00026,2026,BSK-B-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.4,3454,7,Aluvial,0.708,Defisit,4.29,2.03,0.85,0.9,0.45,0.1,29.77,239429674,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00027,2026,BSK-B-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.1,4292,16,Podsolik Merah Kuning,0.647,Defisit,4.41,2.16,1.2,0.9,0.45,0.1,39.57,329606074,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00028,2026,BSK-B-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.6,4376,18,Gambut,0.802,Defisit,4.38,2.14,1.2,1.25,0.75,0.18,43.32,353324847,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00029,2026,BSK-B-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,27.9,3794,7,Podsolik Merah Kuning,0.953,Defisit,4.14,1.45,0.85,0.9,0.45,0.1,29.93,276467644,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00030,2026,BSK-B-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.3,3939,14,Mineral,0.755,Defisit,4.47,2.07,0.85,1.25,0.45,0.1,36.2,330917730,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00031,2026,BSK-B-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.3,3441,8,Mineral,0.993,Defisit,4.11,1.49,1.2,0.9,0.45,0.18,28.66,251141135,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00032,2026,BSK-B-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.8,4325,16,Mineral,0.946,Defisit,4.18,2.03,1.2,0.9,0.45,0.1,38.32,353586516,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00033,2026,BSK-B-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.6,4519,12,Aluvial,1.047,Optimum,3.21,1.36,0.85,0.9,0.45,0.1,31.05,267622291,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00034,2026,BSK-B-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.2,3226,14,Aluvial,1.061,Optimum,3.1,1.3,1.2,0.9,0.45,0.18,23.0,196864271,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00035,2026,BSK-B-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.6,3328,14,Podsolik Merah Kuning,0.897,Defisit,4.42,2.2,0.85,0.9,0.45,0.1,29.69,262860621,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00036,2026,BSK-B-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,26.5,3392,16,Aluvial,0.847,Defisit,4.23,2.1,0.85,1.25,0.45,0.1,30.46,256488547,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00037,2026,BSK-B-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.3,3542,16,Mineral,0.72,Defisit,4.37,2.12,1.2,1.25,0.45,0.1,33.61,291975786,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00038,2026,BSK-B-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.7,4175,15,Podsolik Merah Kuning,0.913,Defisit,4.41,2.04,0.85,1.25,0.45,0.1,37.99,351189663,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00039,2026,BSK-B-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.1,4304,15,Podsolik Merah Kuning,0.857,Defisit,4.27,2.18,1.2,0.9,0.45,0.1,39.17,336394597,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00040,2026,BSK-B-016,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,24.1,3085,8,Gambut,0.707,Defisit,4.3,2.2,0.85,0.9,0.75,0.18,28.32,238807843,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00041,2026,BSK-B-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.9,3626,11,Mineral,0.961,Defisit,4.34,1.48,1.2,0.9,0.45,0.1,30.71,249022128,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00042,2026,BSK-B-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.5,4410,10,Mineral,0.993,Defisit,4.21,1.48,1.2,1.25,0.45,0.1,38.32,330870897,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00043,2026,BSK-B-019,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.8,3509,17,Podsolik Merah Kuning,1.016,Optimum,3.44,1.41,1.2,1.25,0.45,0.18,27.83,233858713,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00044,2026,BSK-B-020,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,26.5,3392,8,Gambut,0.971,Defisit,4.27,1.45,0.85,1.25,0.75,0.18,29.68,273035255,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00045,2026,BSK-B-021,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,26.3,3419,9,Podsolik Merah Kuning,1.072,Optimum,3.31,1.3,0.85,0.9,0.45,0.18,23.9,196911887,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00046,2026,BSK-B-022,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,26.2,3406,12,Aluvial,0.974,Defisit,4.26,1.43,1.2,1.25,0.45,0.1,29.6,265432672,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00047,2026,BSK-B-023,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,27.9,3794,12,Mineral,0.931,Defisit,4.42,2.03,1.2,0.9,0.45,0.1,34.53,303493336,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00048,2026,BSK-B-024,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,26.2,3563,16,Podsolik Merah Kuning,0.908,Defisit,4.12,2.23,0.85,1.25,0.45,0.1,32.07,256873071,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00049,2026,BSK-C-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,27.5,3795,11,Mineral,0.957,Defisit,4.14,1.48,0.85,1.25,0.45,0.1,31.38,256877501,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00050,2026,BSK-C-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,30.8,4250,12,Mineral,0.87,Defisit,4.37,2.1,1.2,0.9,0.45,0.1,38.76,351626232,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00051,2026,BSK-C-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,29.9,4036,7,Mineral,0.842,Defisit,4.24,2.17,0.85,0.9,0.45,0.18,35.48,288274353,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00052,2026,BSK-C-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,24.8,3224,12,Podsolik Merah Kuning,1.013,Optimum,3.45,1.39,0.85,0.9,0.45,0.1,23.02,201959629,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00053,2026,BSK-C-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,27.2,3590,8,Gambut,0.885,Defisit,4.34,2.07,0.85,1.25,0.75,0.18,33.89,307144794,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00054,2026,BSK-C-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,31.7,4184,8,Mineral,0.904,Defisit,4.26,2.21,0.85,0.9,0.45,0.1,36.69,337722745,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00055,2026,BSK-C-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,27.8,3892,11,Mineral,0.963,Defisit,4.26,1.3,1.2,0.9,0.45,0.18,32.26,273938330,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00056,2026,BSK-C-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,28.4,3862,21,Mineral,0.84,Defisit,4.27,2.13,0.85,0.9,0.45,0.1,33.6,315386118,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00057,2026,BSK-C-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,24.6,3247,21,Gambut,1.065,Optimum,3.23,1.44,0.85,0.9,0.75,0.1,23.61,212235367,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00058,2026,BSK-C-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,25.0,3375,7,Mineral,0.935,Defisit,4.43,2.16,1.2,0.9,0.45,0.18,31.45,292141608,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00059,2026,BSK-C-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,25.9,3522,21,Mineral,0.902,Defisit,4.22,2.22,0.85,0.9,0.45,0.1,30.78,287130245,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00060,2026,BSK-C-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,31.6,4361,10,Podsolik Merah Kuning,0.914,Defisit,4.23,2.13,1.2,0.9,0.45,0.1,39.29,353021167,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00061,2026,BSK-C-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,29.7,4158,10,Mineral,1.144,Optimum,3.16,1.43,1.2,0.9,0.45,0.1,30.1,257252633,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00062,2026,BSK-C-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,28.0,3696,17,Gambut,0.858,Defisit,4.19,2.1,0.85,0.9,0.75,0.18,33.15,268815147,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00063,2026,BSK-C-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,31.0,4340,8,Mineral,1.049,Optimum,3.05,1.45,0.85,1.25,0.45,0.1,31.03,246064473,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00064,2026,BSK-C-016,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,26.6,3671,8,Mineral,1.007,Optimum,3.06,1.27,1.2,0.9,0.45,0.1,25.62,237914101,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00065,2026,BSK-C-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,30.2,3866,9,Podsolik Merah Kuning,0.726,Defisit,4.23,2.16,1.2,0.9,0.45,0.1,34.95,328050801,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00066,2026,BSK-C-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,24.1,3374,18,Podsolik Merah Kuning,0.959,Defisit,4.4,1.39,0.85,0.9,0.45,0.1,27.3,230421996,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00067,2026,BSK-C-019,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,25.0,3450,7,Mineral,1.012,Optimum,3.18,1.32,0.85,0.9,0.45,0.1,23.46,204169520,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00068,2026,BSK-C-020,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,31.7,4058,14,Gambut,0.935,Defisit,4.15,2.08,0.85,1.25,0.75,0.18,37.58,351147862,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00069,2026,BSK-C-021,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,31.2,4212,14,Gambut,0.857,Defisit,4.14,2.05,1.2,1.25,0.75,0.1,39.97,343814280,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00070,2026,BSK-C-022,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,28.5,3705,16,Podsolik Merah Kuning,1.027,Optimum,3.16,1.34,0.85,0.9,0.45,0.1,25.19,236766143,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00071,2026,BSK-C-023,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,28.1,3794,13,Mineral,1.048,Optimum,3.21,1.48,1.2,1.25,0.45,0.1,29.18,250810655,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00072,2026,BSK-C-024,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Inti,31.0,4185,7,Mineral,0.96,Defisit,4.34,1.3,0.85,1.25,0.45,0.1,34.69,282451263,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00073,2026,BSK-D-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Inti,27.1,3686,21,Mineral,0.914,Defisit,4.23,2.13,1.2,0.9,0.45,0.1,33.21,264007853,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00074,2026,BSK-D-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Inti,30.8,4189,21,Podsolik Merah Kuning,0.963,Defisit,4.21,1.38,0.85,0.9,0.45,0.1,33.05,269605266,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00075,2026,BSK-D-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Inti,29.6,4026,7,Mineral,1.0,Optimum,3.45,1.34,0.85,0.9,0.45,0.1,28.54,267769529,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
