SampelTanahID,Tahun,BlokID,EstateKode,Estate,Afdeling,JenisTanah,Topografi,Kedalaman_cm,pH_H2O,C_Organik_Persen,N_Total_Persen,P_Bray_ppm,K_dd_me100g,Mg_dd_me100g,KTK_me100g,KejenuhanBasa_Persen,Tekstur
TN-0063,2026,TJL-C-016,TJL,Estate Tanjung Lestari,C,Gambut,Datar,0-20,4.55,11.9,0.168,9.8,0.236,0.396,17.0,23.4,Organik
TN-0064,2026,TJL-C-019,TJL,Estate Tanjung Lestari,C,Mineral,Bergelombang,0-20,4.73,2.08,0.141,7.8,0.099,0.549,14.1,26.4,Liat berdebu
TN-0065,2026,TJL-C-021,TJL,Estate Tanjung Lestari,C,Podsolik Merah Kuning,Berbukit,20-40,4.77,1.12,0.173,8.4,0.209,0.386,18.0,31.6,Organik
TN-0066,2026,TJL-D-005,TJL,Estate Tanjung Lestari,D,Mineral,Berbukit,20-40,5.7,2.11,0.184,9.4,0.272,0.506,17.0,28.9,Lempung berpasir
TN-0067,2026,TJL-D-009,TJL,Estate Tanjung Lestari,D,Mineral,Bergelombang,0-20,5.06,1.97,0.265,7.0,0.079,0.808,17.3,15.9,Lempung berpasir
TN-0068,2026,TJL-D-010,TJL,Estate Tanjung Lestari,D,Gambut,Datar,20-40,4.18,13.16,0.134,15.1,0.101,0.299,19.7,8.4,Organik
TN-0069,2026,TJL-D-011,TJL,Estate Tanjung Lestari,D,Podsolik Merah Kuning,Berbukit,0-20,4.83,2.18,0.271,10.1,0.136,0.688,13.9,27.5,Liat berdebu
TN-0070,2026,TJL-D-014,TJL,Estate Tanjung Lestari,D,Mineral,Bergelombang,0-20,4.87,3.15,0.208,8.6,0.177,0.497,18.6,20.4,Pasir berlempung
TN-0071,2026,TJL-D-015,TJL,Estate Tanjung Lestari,D,Mineral,Datar,0-20,4.88,2.72,0.166,12.9,0.178,0.458,14.8,22.1,Organik
TN-0072,2026,TJL-D-020,TJL,Estate Tanjung Lestari,D,Podsolik Merah Kuning,Bergelombang,0-20,5.03,2.37,0.206,10.9,0.301,0.24,13.0,26.2,Lempung berpasir
TN-0073,2026,TJL-D-023,TJL,Estate Tanjung Lestari,D,Gambut,Bergelombang,20-40,4.6,11.98,0.236,10.3,0.162,0.62,19.7,17.5,Lempung berpasir
TN-0074,2026,TJL-D-024,TJL,Estate Tanjung Lestari,D,Aluvial,Bergelombang,0-20,5.02,1.63,0.226,12.7,0.113,0.368,18.2,34.4,Lempung berpasir
TN-0075,2026,TJL-E-006,TJL,Estate Tanjung Lestari,E,Podsolik Merah Kuning,Bergelombang,20-40,5.24,1.5,0.132,15.0,0.191,0.671,16.6,34.8,Pasir berlempung
TN-0076,2026,TJL-E-007,TJL,Estate Tanjung Lestari,E,Mineral,Berbukit,0-20,4.71,1.38,0.192,14.7,0.204,0.46,20.9,24.7,Liat berdebu
TN-0077,2026,TJL-E-017,TJL,Estate Tanjung Lestari,E,Podsolik Merah Kuning,Datar,0-20,5.54,2.67,0.203,16.7,0.354,0.479,21.7,34.2,Liat berdebu
TN-0078,2026,TJL-E-021,TJL,Estate Tanjung Lestari,E,Aluvial,Bergelombang,20-40,4.85,2.38,0.213,17.2,0.289,0.722,12.6,18.5,Pasir berlempung
TN-0079,2026,TJL-E-023,TJL,Estate Tanjung Lestari,E,Mineral,Bergelombang,20-40,5.42,1.85,0.215,8.3,0.192,0.283,16.0,20.5,Liat berdebu
TN-0080,2026,TJL-F-006,TJL,Estate Tanjung Lestari,F,Mineral,Datar,20-40,5.07,0.95,0.249,14.2,0.205,0.293,16.1,20.8,Liat berdebu
TN-0081,2026,TJL-F-016,TJL,Estate Tanjung Lestari,F,Mineral,Bergelombang,20-40,5.43,2.22,0.239,13.1,0.228,0.461,19.8,25.1,Organik
TN-0082,2026,TJL-F-019,TJL,Estate Tanjung Lestari,F,Mineral,Datar,0-20,5.37,1.84,0.255,13.3,0.27,0.453,14.8,11.0,Pasir berlempung
TN-0083,2026,TJL-F-021,TJL,Estate Tanjung Lestari,F,Podsolik Merah Kuning,Datar,0-20,5.56,1.54,0.157,15.6,0.193,0.41,23.2,43.0,Lempung berpasir
TN-0084,2026,MRA-A-001,MRA,Estate Muara Alam,A,Mineral,Bergelombang,20-40,4.98,1.07,0.149,14.0,0.371,0.587,15.6,26.4,Pasir berlempung
TN-0085,2026,MRA-A-002,MRA,Estate Muara Alam,A,Aluvial,Bergelombang,0-20,5.21,1.54,0.204,9.4,0.377,0.335,17.6,30.8,Organik
TN-0086,2026,MRA-A-006,MRA,Estate Muara Alam,A,Podsolik Merah Kuning,Datar,20-40,4.96,2.22,0.199,13.5,0.326,0.251,17.8,21.2,Liat berdebu
TN-0087,2026,MRA-A-008,MRA,Estate Muara Alam,A,Gambut,Berbukit,0-20,4.68,13.06,0.153,8.2,0.353,0.422,16.3,34.6,Organik
TN-0088,2026,MRA-A-010,MRA,Estate Muara Alam,A,Aluvial,Datar,0-20,5.19,2.59,0.226,12.4,0.28,0.605,15.6,20.9,Liat berdebu
TN-0089,2026,MRA-A-013,MRA,Estate Muara Alam,A,Mineral,Bergelombang,20-40,5.22,3.56,0.159,7.4,0.335,0.484,17.3,23.6,Organik
TN-0090,2026,MRA-A-015,MRA,Estate Muara Alam,A,Mineral,Berbukit,20-40,5.66,1.59,0.156,6.6,0.367,0.42,20.8,31.8,Pasir berlempung
TN-0091,2026,MRA-A-018,MRA,Estate Muara Alam,A,Podsolik Merah Kuning,Datar,0-20,5.59,1.73,0.205,9.5,0.445,0.539,27.4,17.3,Lempung berpasir
TN-0092,2026,MRA-A-021,MRA,Estate Muara Alam,A,Gambut,Datar,0-20,4.22,13.22,0.237,9.6,0.351,0.619,15.5,18.1,Lempung berpasir
TN-0093,2026,MRA-A-022,MRA,Estate Muara Alam,A,Podsolik Merah Kuning,Datar,0-20,5.25,1.76,0.163,9.0,0.266,0.397,14.5,26.4,Pasir berlempung
TN-0094,2026,MRA-A-023,MRA,Estate Muara Alam,A,Mineral,Bergelombang,0-20,5.44,2.07,0.216,10.9,0.429,0.517,20.8,30.5,Pasir berlempung
TN-0095,2026,MRA-B-002,MRA,Estate Muara Alam,B,Podsolik Merah Kuning,Bergelombang,20-40,4.99,1.86,0.051,12.6,0.359,0.457,13.2,27.5,Organik
TN-0096,2026,MRA-B-003,MRA,Estate Muara Alam,B,Aluvial,Bergelombang,0-20,5.31,2.6,0.125,3.7,0.384,0.134,18.0,25.2,Liat berdebu
TN-0097,2026,MRA-B-004,MRA,Estate Muara Alam,B,Podsolik Merah Kuning,Berbukit,0-20,4.71,2.48,0.166,9.4,0.36,0.427,15.3,30.9,Lempung berpasir
TN-0098,2026,MRA-B-008,MRA,Estate Muara Alam,B,Mineral,Berbukit,20-40,5.09,2.12,0.217,17.0,0.274,0.406,15.9,25.0,Lempung berpasir
TN-0099,2026,MRA-B-009,MRA,Estate Muara Alam,B,Mineral,Berbukit,20-40,4.55,1.25,0.221,7.5,0.348,0.239,15.5,25.9,Pasir berlempung
TN-0100,2026,MRA-B-011,MRA,Estate Muara Alam,B,Podsolik Merah Kuning,Datar,0-20,5.16,2.81,0.244,10.5,0.24,0.576,15.2,39.1,Pasir berlempung
TN-0101,2026,MRA-B-014,MRA,Estate Muara Alam,B,Mineral,Bergelombang,0-20,5.49,3.0,0.206,11.5,0.201,0.475,18.1,13.9,Organik
TN-0102,2026,MRA-B-018,MRA,Estate Muara Alam,B,Podsolik Merah Kuning,Datar,20-40,5.38,2.43,0.195,9.4,0.346,0.543,15.2,12.7,Lempung berpasir
TN-0103,2026,MRA-B-019,MRA,Estate Muara Alam,B,Podsolik Merah Kuning,Bergelombang,20-40,5.2,2.61,0.153,11.7,0.301,0.509,14.9,33.0,Organik
TN-0104,2026,MRA-B-022,MRA,Estate Muara Alam,B,Aluvial,Bergelombang,20-40,5.03,2.45,0.149,6.6,0.454,0.614,12.8,34.7,Pasir berlempung
TN-0105,2026,MRA-C-005,MRA,Estate Muara Alam,C,Mineral,Datar,0-20,4.91,1.93,0.215,9.8,0.314,0.299,16.5,30.1,Liat berdebu
TN-0106,2026,MRA-C-006,MRA,Estate Muara Alam,C,Gambut,Berbukit,20-40,4.31,11.69,0.098,11.1,0.46,0.444,11.3,30.1,Pasir berlempung
TN-0107,2026,MRA-C-008,MRA,Estate Muara Alam,C,Podsolik Merah Kuning,Bergelombang,20-40,5.24,2.19,0.182,9.3,0.377,0.485,8.4,21.2,Organik
TN-0108,2026,MRA-C-010,MRA,Estate Muara Alam,C,Mineral,Datar,20-40,4.78,1.56,0.198,12.6,0.254,0.304,19.2,30.0,Organik
TN-0109,2026,MRA-C-016,MRA,Estate Muara Alam,C,Mineral,Berbukit,20-40,5.13,2.0,0.204,5.7,0.387,0.641,12.5,20.1,Organik
TN-0110,2026,MRA-C-021,MRA,Estate Muara Alam,C,Mineral,Datar,20-40,5.34,2.24,0.2,11.7,0.305,0.46,13.4,21.8,Liat berdebu
TN-0111,2026,MRA-C-022,MRA,Estate Muara Alam,C,Podsolik Merah Kuning,Bergelombang,0-20,4.99,2.3,0.148,6.8,0.266,0.32,16.9,28.9,Organik
TN-0112,2026,MRA-C-024,MRA,Estate Muara Alam,C,Mineral,Bergelombang,0-20,4.76,1.67,0.182,10.4,0.3,0.535,14.6,43.2,Organik
TN-0113,2026,MRA-D-001,MRA,Estate Muara Alam,D,Gambut,Bergelombang,0-20,4.89,12.04,0.158,13.2,0.237,0.689,17.5,21.2,Liat berdebu
TN-0114,2026,MRA-D-003,MRA,Estate Muara Alam,D,Mineral,Datar,0-20,4.67,1.9,0.244,18.7,0.216,0.556,17.6,39.7,Pasir berlempung
TN-0115,2026,MRA-D-005,MRA,Estate Muara Alam,D,Aluvial,Bergelombang,0-20,4.92,1.69,0.209,14.3,0.342,0.349,17.0,28.7,Liat berdebu
TN-0116,2026,MRA-D-006,MRA,Estate Muara Alam,D,Mineral,Datar,20-40,4.9,1.83,0.135,10.5,0.28,0.442,16.4,28.9,Organik
TN-0117,2026,MRA-D-011,MRA,Estate Muara Alam,D,Gambut,Datar,0-20,4.59,11.99,0.187,9.8,0.243,0.36,18.7,20.6,Lempung berpasir
TN-0118,2026,MRA-D-013,MRA,Estate Muara Alam,D,Mineral,Datar,0-20,5.19,1.68,0.198,12.6,0.455,0.4,18.4,30.0,Organik
TN-0119,2026,MRA-D-015,MRA,Estate Muara Alam,D,Mineral,Datar,0-20,4.88,1.72,0.221,16.7,0.35,0.334,17.2,24.9,Pasir berlempung
TN-0120,2026,MRA-D-017,MRA,Estate Muara Alam,D,Mineral,Bergelombang,0-20,5.2,1.79,0.187,8.4,0.376,0.445,13.1,27.3,Liat berdebu
TN-0121,2026,MRA-D-020,MRA,Estate Muara Alam,D,Podsolik Merah Kuning,Bergelombang,0-20,5.17,1.54,0.174,4.5,0.42,0.339,15.1,34.0,Liat berdebu
TN-0122,2026,MRA-D-021,MRA,Estate Muara Alam,D,Podsolik Merah Kuning,Datar,0-20,5.42,0.79,0.269,14.8,0.22,0.431,16.4,20.8,Organik
TN-0123,2026,MRA-E-001,MRA,Estate Muara Alam,E,Mineral,Datar,0-20,4.98,3.2,0.134,10.4,0.367,0.585,11.9,29.4,Pasir berlempung
TN-0124,2026,MRA-E-005,MRA,Estate Muara Alam,E,Podsolik Merah Kuning,Datar,20-40,4.95,2.87,0.217,5.6,0.3,0.391,9.8,10.7,Organik
TN-0125,2026,MRA-E-011,MRA,Estate Muara Alam,E,Podsolik Merah Kuning,Datar,0-20,4.82,1.51,0.162,13.7,0.299,0.589,21.1,25.0,Organik
TN-0126,2026,MRA-E-015,MRA,Estate Muara Alam,E,Gambut,Datar,20-40,4.6,12.83,0.261,11.4,0.276,0.456,13.5,24.0,Lempung berpasir
TN-0127,2026,MRA-E-018,MRA,Estate Muara Alam,E,Gambut,Datar,0-20,4.5,12.5,0.173,7.4,0.348,0.443,8.5,31.3,Organik
TN-0128,2026,MRA-E-021,MRA,Estate Muara Alam,E,Mineral,Berbukit,0-20,4.63,3.2,0.122,10.8,0.3,0.49,15.2,29.5,Pasir berlempung
TN-0129,2026,MRA-E-022,MRA,Estate Muara Alam,E,Mineral,Bergelombang,0-20,5.22,1.57,0.175,8.8,0.331,0.332,14.8,20.7,Lempung berpasir
TN-0130,2026,MRA-F-003,MRA,Estate Muara Alam,F,Podsolik Merah Kuning,Bergelombang,0-20,5.09,1.53,0.123,13.7,0.444,0.495,13.7,35.1,Liat berdebu
TN-0131,2026,MRA-F-010,MRA,Estate Muara Alam,F,Mineral,Bergelombang,20-40,5.5,2.15,0.127,6.4,0.305,0.472,18.4,25.2,Pasir berlempung
TN-0132,2026,MRA-F-011,MRA,Estate Muara Alam,F,Mineral,Bergelombang,20-40,4.99,1.88,0.227,8.9,0.302,0.417,17.8,36.2,Lempung berpasir
TN-0133,2026,MRA-F-013,MRA,Estate Muara Alam,F,Gambut,Datar,20-40,4.59,12.03,0.152,12.6,0.287,0.388,26.6,36.0,Pasir berlempung
TN-0134,2026,MRA-F-014,MRA,Estate Muara Alam,F,Gambut,Bergelombang,0-20,5.03,12.53,0.223,9.8,0.337,0.379,18.0,30.6,Lempung berpasir
TN-0135,2026,MRA-F-015,MRA,Estate Muara Alam,F,Gambut,Berbukit,0-20,4.93,13.01,0.185,10.2,0.474,0.595,17.3,30.8,Lempung berpasir
TN-0136,2026,MRA-F-016,MRA,Estate Muara Alam,F,Aluvial,Bergelombang,0-20,4.94,1.11,0.139,11.2,0.373,0.363,15.9,31.6,Pasir berlempung
TN-0137,2026,MRA-F-017,MRA,Estate Muara Alam,F,Mineral,Berbukit,20-40,5.17,2.15,0.191,13.5,0.211,0.388,21.8,26.7,Organik
TN-0138,2026,MRA-F-018,MRA,Estate Muara Alam,F,Mineral,Datar,0-20,4.92,2.1,0.187,15.6,0.331,0.406,12.9,22.1,Organik
TN-0139,2026,MRA-F-019,MRA,Estate Muara Alam,F,Mineral,Datar,0-20,5.24,1.97,0.161,14.2,0.299,0.569,20.0,31.2,Lempung berpasir
TN-0140,2026,MRA-F-020,MRA,Estate Muara Alam,F,Mineral,Berbukit,0-20,4.75,2.11,0.204,5.0,0.319,0.64,18.1,16.1,Organik
TN-0141,2026,MRA-F-023,MRA,Estate Muara Alam,F,Podsolik Merah Kuning,Bergelombang,0-20,4.76,1.51,0.19,8.2,0.261,0.459,18.2,26.9,Pasir berlempung
TN-0142,2026,SRK-A-003,SRK,Estate Sungai Rangkat,A,Podsolik Merah Kuning,Bergelombang,20-40,5.46,2.65,0.204,13.4,0.431,0.42,20.5,33.9,Lempung berpasir
TN-0143,2026,SRK-A-005,SRK,Estate Sungai Rangkat,A,Mineral,Bergelombang,0-20,5.27,1.98,0.209,6.1,0.242,0.613,18.8,22.3,Liat berdebu
TN-0144,2026,SRK-A-013,SRK,Estate Sungai Rangkat,A,Mineral,Datar,0-20,5.54,2.72,0.193,9.0,0.253,0.463,19.8,19.5,Organik
TN-0145,2026,SRK-A-017,SRK,Estate Sungai Rangkat,A,Gambut,Bergelombang,0-20,4.84,11.14,0.229,13.6,0.276,0.589,16.9,20.7,Lempung berpasir
TN-0146,2026,SRK-A-019,SRK,Estate Sungai Rangkat,A,Mineral,Datar,0-20,5.6,1.52,0.216,15.7,0.35,0.54,12.9,21.1,Organik
TN-0147,2026,SRK-A-020,SRK,Estate Sungai Rangkat,A,Gambut,Datar,20-40,4.72,12.78,0.191,11.7,0.208,0.654,20.2,36.9,Organik
TN-0148,2026,SRK-A-021,SRK,Estate Sungai Rangkat,A,Gambut,Datar,0-20,4.67,13.23,0.24,10.3,0.383,0.458,22.1,21.2,Lempung berpasir
TN-0149,2026,SRK-A-022,SRK,Estate Sungai Rangkat,A,Mineral,Datar,0-20,5.11,3.42,0.19,9.2,0.242,0.558,10.9,36.2,Organik
TN-0150,2026,SRK-A-023,SRK,Estate Sungai Rangkat,A,Podsolik Merah Kuning,Datar,20-40,4.85,2.09,0.122,14.5,0.279,0.559,14.2,27.5,Pasir berlempung
