EstateKode,Estate,Wilayah,Tahun,Bulan,NamaBulan,Periode,CurahHujan_mm,HariHujan,HariKerjaEfektif,Evapotranspirasi_mm,DefisitAir_mm,DefisitAirKumulatif12Bulan_mm,CurahHujan12Bulan_mm,BulanKering,StatusIklim
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,9,Sep,Sep-2024,204.2,9,30,150.0,0.0,186.8,2402.3,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,10,Okt,Okt-2024,480.4,17,31,150.0,0.0,166.4,2753.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,11,Nov,Nov-2024,365.0,17,30,150.0,0.0,62.0,3072.5,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,12,Des,Des-2024,294.8,14,31,150.0,0.0,62.0,3125.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,1,Jan,Jan-2025,445.7,19,31,150.0,0.0,62.0,3312.9,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,2,Feb,Feb-2025,284.3,10,28,150.0,0.0,62.0,3346.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,3,Mar,Mar-2025,531.2,16,30,150.0,0.0,62.0,3605.5,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,4,Apr,Apr-2025,252.6,10,30,150.0,0.0,62.0,3537.8,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,5,Mei,Mei-2025,303.2,10,31,150.0,0.0,62.0,3549.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,6,Jun,Jun-2025,82.4,6,30,150.0,67.6,115.1,3496.3,1,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,7,Jul,Jul-2025,205.8,9,31,150.0,0.0,76.1,3591.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,8,Agu,Agu-2025,119.4,4,31,150.0,30.6,98.2,3569.0,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,9,Sep,Sep-2025,249.2,10,30,150.0,0.0,98.2,3614.0,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,10,Okt,Okt-2025,325.2,10,31,150.0,0.0,98.2,3458.8,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,11,Nov,Nov-2025,412.6,19,30,150.0,0.0,98.2,3506.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2025,12,Des,Des-2025,482.2,19,31,150.0,0.0,98.2,3693.8,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2026,1,Jan,Jan-2026,524.6,20,31,150.0,0.0,98.2,3772.7,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2026,2,Feb,Feb-2026,224.3,10,28,150.0,0.0,98.2,3712.7,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2026,3,Mar,Mar-2026,374.6,13,31,150.0,0.0,98.2,3556.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2026,4,Apr,Apr-2026,377.6,16,29,150.0,0.0,98.2,3681.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2026,5,Mei,Mei-2026,251.4,10,31,150.0,0.0,98.2,3629.3,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2026,6,Jun,Jun-2026,315.5,10,30,150.0,0.0,30.6,3862.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2026,7,Jul,Jul-2026,129.2,7,31,150.0,20.8,51.4,3785.8,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2026,8,Agu,Agu-2026,191.3,8,31,150.0,0.0,20.8,3857.7,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,1,Jan,Jan-2021,294.1,11,31,150.0,0.0,0.0,294.1,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,2,Feb,Feb-2021,338.1,12,28,150.0,0.0,0.0,632.2,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,3,Mar,Mar-2021,395.0,15,31,150.0,0.0,0.0,1027.2,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,4,Apr,Apr-2021,353.2,14,30,150.0,0.0,0.0,1380.4,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,5,Mei,Mei-2021,150.3,4,30,150.0,0.0,0.0,1530.7,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,6,Jun,Jun-2021,87.0,3,30,150.0,63.0,63.0,1617.7,1,Normal
KPS,Estate Kampar Sentosa,Riau,2021,7,Jul,Jul-2021,102.2,5,31,150.0,47.8,110.8,1719.9,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,8,Agu,Agu-2021,151.7,7,31,150.0,0.0,110.8,1871.6,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,9,Sep,Sep-2021,243.1,10,30,150.0,0.0,110.8,2114.7,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,10,Okt,Okt-2021,205.7,8,31,150.0,0.0,110.8,2320.4,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,11,Nov,Nov-2021,399.9,17,30,150.0,0.0,110.8,2720.3,0,Normal
KPS,Estate Kampar Sentosa,Riau,2021,12,Des,Des-2021,336.0,14,31,150.0,0.0,110.8,3056.3,0,Normal
KPS,Estate Kampar Sentosa,Riau,2022,1,Jan,Jan-2022,370.9,19,31,150.0,0.0,110.8,3133.1,0,Normal
KPS,Estate Kampar Sentosa,Riau,2022,2,Feb,Feb-2022,309.4,13,28,150.0,0.0,110.8,3104.4,0,Normal
KPS,Estate Kampar Sentosa,Riau,2022,3,Mar,Mar-2022,275.5,11,31,150.0,0.0,110.8,2984.9,0,Normal
KPS,Estate Kampar Sentosa,Riau,2022,4,Apr,Apr-2022,178.4,9,30,150.0,0.0,110.8,2810.1,0,Normal
KPS,Estate Kampar Sentosa,Riau,2022,5,Mei,Mei-2022,173.1,6,31,150.0,0.0,110.8,2832.9,0,Normal
KPS,Estate Kampar Sentosa,Riau,2022,6,Jun,Jun-2022,121.9,4,30,150.0,28.1,75.9,2867.8,0,Normal
KPS,Estate Kampar Sentosa,Riau,2022,7,Jul,Jul-2022,71.0,3,31,150.0,79.0,107.1,2836.6,1,Normal
KPS,Estate Kampar Sentosa,Riau,2022,8,Agu,Agu-2022,31.7,2,31,150.0,118.3,225.4,2716.6,1,Kering
KPS,Estate Kampar Sentosa,Riau,2022,9,Sep,Sep-2022,205.8,6,30,150.0,0.0,225.4,2679.3,0,Kering
KPS,Estate Kampar Sentosa,Riau,2022,10,Okt,Okt-2022,192.6,9,31,150.0,0.0,225.4,2666.2,0,Kering
KPS,Estate Kampar Sentosa,Riau,2022,11,Nov,Nov-2022,324.8,14,30,150.0,0.0,225.4,2591.1,0,Kering
KPS,Estate Kampar Sentosa,Riau,2022,12,Des,Des-2022,125.3,8,31,150.0,24.7,250.1,2380.4,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,1,Jan,Jan-2023,264.2,10,31,150.0,0.0,250.1,2273.7,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,2,Feb,Feb-2023,188.2,9,28,150.0,0.0,250.1,2152.5,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,3,Mar,Mar-2023,132.9,9,31,150.0,17.1,267.2,2009.9,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,4,Apr,Apr-2023,354.5,13,29,150.0,0.0,267.2,2186.0,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,5,Mei,Mei-2023,179.5,10,31,150.0,0.0,267.2,2192.4,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,6,Jun,Jun-2023,115.7,5,30,150.0,34.3,273.4,2186.2,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,7,Jul,Jul-2023,98.5,4,31,150.0,51.5,245.9,2213.7,1,Kering
KPS,Estate Kampar Sentosa,Riau,2023,8,Agu,Agu-2023,69.9,3,31,150.0,80.1,207.7,2251.9,1,Kering
KPS,Estate Kampar Sentosa,Riau,2023,9,Sep,Sep-2023,155.7,7,30,150.0,0.0,207.7,2201.8,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,10,Okt,Okt-2023,93.8,4,31,150.0,56.2,263.9,2103.0,1,Kering
KPS,Estate Kampar Sentosa,Riau,2023,11,Nov,Nov-2023,219.3,7,30,150.0,0.0,263.9,1997.5,0,Kering
KPS,Estate Kampar Sentosa,Riau,2023,12,Des,Des-2023,327.2,10,30,150.0,0.0,239.2,2199.4,0,Kering
KPS,Estate Kampar Sentosa,Riau,2024,1,Jan,Jan-2024,345.7,11,31,150.0,0.0,239.2,2280.9,0,Kering
KPS,Estate Kampar Sentosa,Riau,2024,2,Feb,Feb-2024,207.7,8,29,150.0,0.0,239.2,2300.4,0,Kering
KPS,Estate Kampar Sentosa,Riau,2024,3,Mar,Mar-2024,171.8,10,31,150.0,0.0,222.1,2339.3,0,Kering
KPS,Estate Kampar Sentosa,Riau,2024,4,Apr,Apr-2024,153.9,8,30,150.0,0.0,222.1,2138.7,0,Kering
KPS,Estate Kampar Sentosa,Riau,2024,5,Mei,Mei-2024,141.0,5,31,150.0,9.0,231.1,2100.2,0,Kering
KPS,Estate Kampar Sentosa,Riau,2024,6,Jun,Jun-2024,86.0,4,30,150.0,64.0,260.8,2070.5,1,Kering
KPS,Estate Kampar Sentosa,Riau,2024,7,Jul,Jul-2024,24.8,1,31,150.0,125.2,334.5,1996.8,1,Kering
KPS,Estate Kampar Sentosa,Riau,2024,8,Agu,Agu-2024,87.0,3,31,150.0,63.0,317.4,2013.9,1,Kering
KPS,Estate Kampar Sentosa,Riau,2024,9,Sep,Sep-2024,68.9,4,30,150.0,81.1,398.5,1927.1,1,Kering
KPS,Estate Kampar Sentosa,Riau,2024,10,Okt,Okt-2024,195.8,10,31,150.0,0.0,342.3,2029.1,0,Kering
KPS,Estate Kampar Sentosa,Riau,2024,11,Nov,Nov-2024,390.7,15,29,150.0,0.0,342.3,2200.5,0,Kering
KPS,Estate Kampar Sentosa,Riau,2024,12,Des,Des-2024,143.9,7,31,150.0,6.1,348.4,2017.2,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,1,Jan,Jan-2025,153.7,7,31,150.0,0.0,348.4,1825.2,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,2,Feb,Feb-2025,252.8,12,28,150.0,0.0,348.4,1870.3,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,3,Mar,Mar-2025,465.6,16,31,150.0,0.0,348.4,2164.1,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,4,Apr,Apr-2025,134.1,6,30,150.0,15.9,364.3,2144.3,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,5,Mei,Mei-2025,218.3,9,31,150.0,0.0,355.3,2221.6,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,6,Jun,Jun-2025,111.4,4,30,150.0,38.6,329.9,2247.0,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,7,Jul,Jul-2025,158.2,7,31,150.0,0.0,204.7,2380.4,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,8,Agu,Agu-2025,53.5,3,31,150.0,96.5,238.2,2346.9,1,Kering
KPS,Estate Kampar Sentosa,Riau,2025,9,Sep,Sep-2025,47.2,4,30,150.0,102.8,259.9,2325.2,1,Kering
KPS,Estate Kampar Sentosa,Riau,2025,10,Okt,Okt-2025,197.4,7,31,150.0,0.0,259.9,2326.8,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,11,Nov,Nov-2025,267.0,9,30,150.0,0.0,259.9,2203.1,0,Kering
KPS,Estate Kampar Sentosa,Riau,2025,12,Des,Des-2025,474.2,17,30,150.0,0.0,253.8,2533.4,0,Kering
KPS,Estate Kampar Sentosa,Riau,2026,1,Jan,Jan-2026,396.4,17,31,150.0,0.0,253.8,2776.1,0,Kering
KPS,Estate Kampar Sentosa,Riau,2026,2,Feb,Feb-2026,248.1,11,28,150.0,0.0,253.8,2771.4,0,Kering
KPS,Estate Kampar Sentosa,Riau,2026,3,Mar,Mar-2026,331.4,13,31,150.0,0.0,253.8,2637.2,0,Kering
KPS,Estate Kampar Sentosa,Riau,2026,4,Apr,Apr-2026,302.5,11,30,150.0,0.0,237.9,2805.6,0,Kering
KPS,Estate Kampar Sentosa,Riau,2026,5,Mei,Mei-2026,256.8,12,31,150.0,0.0,237.9,2844.1,0,Kering
KPS,Estate Kampar Sentosa,Riau,2026,6,Jun,Jun-2026,94.6,4,30,150.0,55.4,254.7,2827.3,1,Kering
KPS,Estate Kampar Sentosa,Riau,2026,7,Jul,Jul-2026,107.0,4,31,150.0,43.0,297.7,2776.1,0,Kering
KPS,Estate Kampar Sentosa,Riau,2026,8,Agu,Agu-2026,106.5,6,31,150.0,43.5,244.7,2829.1,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2021,1,Jan,Jan-2021,240.1,11,31,150.0,0.0,0.0,240.1,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,2,Feb,Feb-2021,328.3,13,27,150.0,0.0,0.0,568.4,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,3,Mar,Mar-2021,426.3,16,31,150.0,0.0,0.0,994.7,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,4,Apr,Apr-2021,173.1,7,30,150.0,0.0,0.0,1167.8,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,5,Mei,Mei-2021,120.7,7,31,150.0,29.3,29.3,1288.5,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,6,Jun,Jun-2021,206.0,8,30,150.0,0.0,29.3,1494.5,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,7,Jul,Jul-2021,203.9,7,31,150.0,0.0,29.3,1698.4,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,8,Agu,Agu-2021,83.8,5,31,150.0,66.2,95.5,1782.2,1,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,9,Sep,Sep-2021,141.5,7,30,150.0,8.5,104.0,1923.7,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,10,Okt,Okt-2021,213.2,11,31,150.0,0.0,104.0,2136.9,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,11,Nov,Nov-2021,518.7,18,28,150.0,0.0,104.0,2655.6,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2021,12,Des,Des-2021,375.6,14,31,150.0,0.0,104.0,3031.2,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2022,1,Jan,Jan-2022,244.3,12,31,150.0,0.0,104.0,3035.4,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2022,2,Feb,Feb-2022,465.5,15,26,150.0,0.0,104.0,3172.6,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2022,3,Mar,Mar-2022,341.9,15,31,150.0,0.0,104.0,3088.2,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2022,4,Apr,Apr-2022,250.6,12,30,150.0,0.0,104.0,3165.7,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2022,5,Mei,Mei-2022,228.5,11,31,150.0,0.0,74.7,3273.5,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2022,6,Jun,Jun-2022,76.5,3,30,150.0,73.5,148.2,3144.0,1,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2022,7,Jul,Jul-2022,106.0,4,31,150.0,44.0,192.2,3046.1,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2022,8,Agu,Agu-2022,66.2,3,31,150.0,83.8,209.8,3028.5,1,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2022,9,Sep,Sep-2022,164.0,6,29,150.0,0.0,201.3,3051.0,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2022,10,Okt,Okt-2022,232.9,8,31,150.0,0.0,201.3,3070.7,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2022,11,Nov,Nov-2022,429.5,16,30,150.0,0.0,201.3,2981.5,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2022,12,Des,Des-2022,399.9,16,30,150.0,0.0,201.3,3005.8,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,1,Jan,Jan-2023,301.0,15,31,150.0,0.0,201.3,3062.5,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,2,Feb,Feb-2023,316.3,12,28,150.0,0.0,201.3,2913.3,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,3,Mar,Mar-2023,385.9,14,31,150.0,0.0,201.3,2957.3,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,4,Apr,Apr-2023,382.8,12,30,150.0,0.0,201.3,3089.5,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,5,Mei,Mei-2023,189.1,7,31,150.0,0.0,201.3,3050.1,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,6,Jun,Jun-2023,78.3,4,30,150.0,71.7,199.5,3051.9,1,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2023,7,Jul,Jul-2023,145.8,4,31,150.0,4.2,159.7,3091.7,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2023,8,Agu,Agu-2023,0.0,0,31,150.0,150.0,225.9,3025.5,1,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,9,Sep,Sep-2023,152.9,5,30,150.0,0.0,225.9,3014.4,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,10,Okt,Okt-2023,163.6,6,30,150.0,0.0,225.9,2945.1,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,11,Nov,Nov-2023,166.5,7,30,150.0,0.0,225.9,2682.1,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2023,12,Des,Des-2023,183.6,11,31,150.0,0.0,225.9,2465.8,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2024,1,Jan,Jan-2024,185.3,10,31,150.0,0.0,225.9,2350.1,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2024,2,Feb,Feb-2024,441.8,16,27,150.0,0.0,225.9,2475.6,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2024,3,Mar,Mar-2024,193.3,11,31,150.0,0.0,225.9,2283.0,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2024,4,Apr,Apr-2024,250.5,10,30,150.0,0.0,225.9,2150.7,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2024,5,Mei,Mei-2024,129.2,7,31,150.0,20.8,246.7,2090.8,0,Kering
LDP,Estate Landak Permai,Kalimantan Barat,2024,6,Jun,Jun-2024,234.5,9,29,150.0,0.0,175.0,2247.0,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2024,7,Jul,Jul-2024,198.9,6,30,150.0,0.0,170.8,2300.1,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2024,8,Agu,Agu-2024,132.6,6,31,150.0,17.4,38.2,2432.7,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2024,9,Sep,Sep-2024,181.5,9,30,150.0,0.0,38.2,2461.3,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2024,10,Okt,Okt-2024,342.9,13,31,150.0,0.0,38.2,2640.6,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2024,11,Nov,Nov-2024,358.7,14,29,150.0,0.0,38.2,2832.8,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2024,12,Des,Des-2024,305.5,14,31,150.0,0.0,38.2,2954.7,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2025,1,Jan,Jan-2025,323.5,14,30,150.0,0.0,38.2,3092.9,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2025,2,Feb,Feb-2025,263.7,12,28,150.0,0.0,38.2,2914.8,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2025,3,Mar,Mar-2025,207.7,9,31,150.0,0.0,38.2,2929.2,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2025,4,Apr,Apr-2025,338.4,12,29,150.0,0.0,38.2,3017.1,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2025,5,Mei,Mei-2025,216.5,9,31,150.0,0.0,17.4,3104.4,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2025,6,Jun,Jun-2025,64.1,3,30,150.0,85.9,103.3,2934.0,1,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2025,7,Jul,Jul-2025,204.8,5,30,150.0,0.0,103.3,2939.9,0,Normal
LDP,Estate Landak Permai,Kalimantan Barat,2025,8,Agu,Agu-2025,180.2,5,31,150.0,0.0,85.9,2987.5,0,Normal
