Tahun,Bulan,NamaBulan,Periode,BlokID,EstateKode,Estate,Wilayah,Afdeling,StatusKebun,LuasHa,UmurTanaman,JenisTanah,TBS_Ton,TonPerHa,JumlahJanjang,BJR_Kg,PotensiTonPerHa_Bulan,YieldGap_TonPerHa,PencapaianPotensi_Persen,CurahHujanBulanIni_mm,DefisitAirBulanIni_mm,CurahHujanLag24_32Bulan_mm,DefisitAirLag5_6Bulan_mm,K_Daun_Persen,RealisasiPupukSem1_Persen
2026,5,Mei,Mei-2026,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,Mineral,60.72,2.051,3842,15.8,2.43,-0.379,84.4,251.4,0.0,226.6,0.0,1.017,50.2
2026,6,Jun,Jun-2026,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,Mineral,52.41,1.771,3470,15.1,2.382,-0.611,74.3,315.5,0.0,216.2,0.0,1.017,50.2
2026,7,Jul,Jul-2026,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,Mineral,50.61,1.71,3203,15.8,2.25,-0.54,76.0,129.2,20.8,214.1,0.0,1.017,50.2
2024,1,Jan,Jan-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,43.43,1.535,2467,17.6,1.68,-0.145,91.3,258.2,0.0,279.9,9.9,1.04,57.7
2024,2,Feb,Feb-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,44.97,1.589,2404,18.7,1.84,-0.251,86.4,251.1,0.0,279.4,2.9,1.04,57.7
2024,3,Mar,Mar-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,51.31,1.813,2700,19.0,2.0,-0.187,90.6,271.8,0.0,289.5,10.2,1.04,57.7
2024,4,Apr,Apr-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,50.23,1.775,2854,17.6,2.117,-0.342,83.8,320.3,0.0,292.4,62.4,1.04,57.7
2024,5,Mei,Mei-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,53.83,1.902,2941,18.3,2.16,-0.258,88.1,291.6,0.0,316.4,52.2,1.04,57.7
2024,6,Jun,Jun-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,53.48,1.89,2814,19.0,2.117,-0.227,89.3,135.5,14.5,308.4,0.0,1.04,57.7
2024,7,Jul,Jul-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,48.44,1.712,2736,17.7,2.0,-0.288,85.6,111.0,39.0,304.1,0.0,1.04,57.7
2024,8,Agu,Agu-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,47.15,1.666,2534,18.6,1.84,-0.174,90.5,141.5,8.5,293.2,0.0,1.04,57.7
2024,9,Sep,Sep-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,44.79,1.583,2488,18.0,1.68,-0.097,94.2,204.2,0.0,271.3,0.0,1.04,57.7
2024,10,Okt,Okt-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,39.76,1.405,2149,18.5,1.563,-0.158,89.9,480.4,0.0,276.6,0.0,1.04,57.7
2024,11,Nov,Nov-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,40.47,1.43,2129,19.0,1.52,-0.09,94.1,365.0,0.0,273.7,7.2,1.04,57.7
2024,12,Des,Des-2024,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,17,Podsolik Merah Kuning,40.1,1.417,2215,18.1,1.563,-0.146,90.7,294.8,0.0,274.7,26.8,1.04,57.7
2025,1,Jan,Jan-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,42.3,1.495,2147,19.7,1.61,-0.115,92.8,445.7,0.0,291.2,23.8,1.04,57.7
2025,2,Feb,Feb-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,44.99,1.59,2227,20.2,1.763,-0.174,90.1,284.3,0.0,296.3,4.2,1.04,57.7
2025,3,Mar,Mar-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,51.37,1.815,2607,19.7,1.917,-0.102,94.7,531.2,0.0,311.2,0.0,1.04,57.7
2025,4,Apr,Apr-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,53.57,1.893,2638,20.3,2.029,-0.136,93.3,252.6,0.0,323.0,0.0,1.04,57.7
2025,5,Mei,Mei-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,52.84,1.867,2810,18.8,2.07,-0.203,90.2,303.2,0.0,329.0,0.0,1.04,57.7
2025,6,Jun,Jun-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,54.13,1.913,2776,19.5,2.029,-0.116,94.3,82.4,67.6,314.0,0.0,1.04,57.7
2025,7,Jul,Jul-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,52.14,1.842,2701,19.3,1.917,-0.074,96.1,205.8,0.0,288.5,0.0,1.04,57.7
2025,8,Agu,Agu-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,42.79,1.512,2118,20.2,1.763,-0.251,85.8,119.4,30.6,274.0,0.0,1.04,57.7
2025,9,Sep,Sep-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,36.52,1.29,1790,20.4,1.61,-0.32,80.1,249.2,0.0,246.6,0.0,1.04,57.7
2025,10,Okt,Okt-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,32.22,1.139,1661,19.4,1.498,-0.359,76.0,325.2,0.0,224.7,0.0,1.04,57.7
2025,11,Nov,Nov-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,29.05,1.027,1545,18.8,1.457,-0.43,70.5,412.6,0.0,185.7,33.8,1.04,57.7
2025,12,Des,Des-2025,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,18,Podsolik Merah Kuning,28.16,0.995,1530,18.4,1.498,-0.503,66.4,482.2,0.0,175.7,33.8,1.04,57.7
2026,1,Jan,Jan-2026,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,Podsolik Merah Kuning,29.35,1.037,1445,20.3,1.54,-0.503,67.3,524.6,0.0,172.0,15.3,1.04,57.7
2026,2,Feb,Feb-2026,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,Podsolik Merah Kuning,31.47,1.112,1527,20.6,1.687,-0.574,65.9,224.3,0.0,170.6,15.3,1.04,57.7
2026,3,Mar,Mar-2026,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,Podsolik Merah Kuning,36.98,1.307,1752,21.1,1.833,-0.526,71.3,374.6,0.0,189.7,0.0,1.04,57.7
2026,4,Apr,Apr-2026,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,Podsolik Merah Kuning,43.0,1.519,2118,20.3,1.941,-0.421,78.3,377.6,0.0,210.2,0.0,1.04,57.7
2026,5,Mei,Mei-2026,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,Podsolik Merah Kuning,47.29,1.671,2241,21.1,1.98,-0.309,84.4,251.4,0.0,226.6,0.0,1.04,57.7
2026,6,Jun,Jun-2026,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,Podsolik Merah Kuning,43.92,1.552,2023,21.7,1.941,-0.389,80.0,315.5,0.0,216.2,0.0,1.04,57.7
2026,7,Jul,Jul-2026,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,Podsolik Merah Kuning,39.23,1.386,1913,20.5,1.833,-0.447,75.6,129.2,20.8,214.1,0.0,1.04,57.7
2024,1,Jan,Jan-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,43.52,1.667,3851,11.3,1.82,-0.153,91.6,258.2,0.0,279.9,9.9,1.008,69.9
2024,2,Feb,Feb-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,46.22,1.771,4402,10.5,1.993,-0.222,88.8,251.1,0.0,279.4,2.9,1.008,69.9
2024,3,Mar,Mar-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,51.88,1.988,4940,10.5,2.167,-0.179,91.7,271.8,0.0,289.5,10.2,1.008,69.9
2024,4,Apr,Apr-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,50.1,1.92,4863,10.3,2.294,-0.374,83.7,320.3,0.0,292.4,62.4,1.008,69.9
2024,5,Mei,Mei-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,56.47,2.163,5429,10.4,2.34,-0.177,92.5,291.6,0.0,316.4,52.2,1.008,69.9
2024,6,Jun,Jun-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,52.52,2.012,5002,10.5,2.294,-0.281,87.7,135.5,14.5,308.4,0.0,1.008,69.9
2024,7,Jul,Jul-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,53.15,2.036,5479,9.7,2.167,-0.13,94.0,111.0,39.0,304.1,0.0,1.008,69.9
2024,8,Agu,Agu-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,49.93,1.913,4943,10.1,1.993,-0.08,96.0,141.5,8.5,293.2,0.0,1.008,69.9
2024,9,Sep,Sep-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,45.21,1.732,5023,9.0,1.82,-0.088,95.2,204.2,0.0,271.3,0.0,1.008,69.9
2024,10,Okt,Okt-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,38.34,1.469,4213,9.1,1.693,-0.224,86.8,480.4,0.0,276.6,0.0,1.008,69.9
2024,11,Nov,Nov-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,39.87,1.527,4026,9.9,1.647,-0.119,92.8,365.0,0.0,273.7,7.2,1.008,69.9
2024,12,Des,Des-2024,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,8,Mineral,38.28,1.467,3716,10.3,1.693,-0.226,86.6,294.8,0.0,274.7,26.8,1.008,69.9
2025,1,Jan,Jan-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,46.22,1.771,4127,11.2,1.89,-0.119,93.7,445.7,0.0,291.2,23.8,1.008,69.9
2025,2,Feb,Feb-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,47.05,1.803,4056,11.6,2.07,-0.267,87.1,284.3,0.0,296.3,4.2,1.008,69.9
2025,3,Mar,Mar-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,55.18,2.114,4414,12.5,2.25,-0.136,94.0,531.2,0.0,311.2,0.0,1.008,69.9
2025,4,Apr,Apr-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,55.38,2.122,5224,10.6,2.382,-0.26,89.1,252.6,0.0,323.0,0.0,1.008,69.9
2025,5,Mei,Mei-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,59.06,2.263,5180,11.4,2.43,-0.167,93.1,303.2,0.0,329.0,0.0,1.008,69.9
2025,6,Jun,Jun-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,56.53,2.166,4958,11.4,2.382,-0.216,90.9,82.4,67.6,314.0,0.0,1.008,69.9
2025,7,Jul,Jul-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,51.11,1.958,5215,9.8,2.25,-0.292,87.0,205.8,0.0,288.5,0.0,1.008,69.9
2025,8,Agu,Agu-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,50.46,1.933,4716,10.7,2.07,-0.137,93.4,119.4,30.6,274.0,0.0,1.008,69.9
2025,9,Sep,Sep-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,41.98,1.608,3887,10.8,1.89,-0.282,85.1,249.2,0.0,246.6,0.0,1.008,69.9
2025,10,Okt,Okt-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,35.66,1.366,3429,10.4,1.758,-0.392,77.7,325.2,0.0,224.7,0.0,1.008,69.9
2025,11,Nov,Nov-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,32.71,1.253,2973,11.0,1.71,-0.457,73.3,412.6,0.0,185.7,33.8,1.008,69.9
2025,12,Des,Des-2025,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,9,Mineral,29.93,1.147,2963,10.1,1.758,-0.612,65.2,482.2,0.0,175.7,33.8,1.008,69.9
2026,1,Jan,Jan-2026,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,Mineral,33.56,1.286,2642,12.7,1.96,-0.674,65.6,524.6,0.0,172.0,15.3,1.008,69.9
2026,2,Feb,Feb-2026,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,Mineral,35.89,1.375,3204,11.2,2.147,-0.771,64.1,224.3,0.0,170.6,15.3,1.008,69.9
2026,3,Mar,Mar-2026,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,Mineral,42.35,1.623,3529,12.0,2.333,-0.711,69.5,374.6,0.0,189.7,0.0,1.008,69.9
2026,4,Apr,Apr-2026,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,Mineral,51.77,1.984,3779,13.7,2.47,-0.486,80.3,377.6,0.0,210.2,0.0,1.008,69.9
2026,5,Mei,Mei-2026,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,Mineral,53.81,2.062,4679,11.5,2.52,-0.458,81.8,251.4,0.0,226.6,0.0,1.008,69.9
2026,6,Jun,Jun-2026,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,Mineral,51.81,1.985,4933,10.5,2.47,-0.485,80.4,315.5,0.0,216.2,0.0,1.008,69.9
2026,7,Jul,Jul-2026,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,Mineral,46.91,1.797,4425,10.6,2.333,-0.536,77.0,129.2,20.8,214.1,0.0,1.008,69.9
2024,1,Jan,Jan-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,42.19,1.388,4536,9.3,1.82,-0.432,76.3,258.2,0.0,279.9,9.9,0.977,51.4
2024,2,Feb,Feb-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,45.74,1.505,4083,11.2,1.993,-0.489,75.5,251.1,0.0,279.4,2.9,0.977,51.4
2024,3,Mar,Mar-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,53.02,1.744,5580,9.5,2.167,-0.423,80.5,271.8,0.0,289.5,10.2,0.977,51.4
2024,4,Apr,Apr-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,55.54,1.827,5444,10.2,2.294,-0.467,79.7,320.3,0.0,292.4,62.4,0.977,51.4
2024,5,Mei,Mei-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,51.03,1.678,5102,10.0,2.34,-0.662,71.7,291.6,0.0,316.4,52.2,0.977,51.4
2024,6,Jun,Jun-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,57.97,1.907,5915,9.8,2.294,-0.387,83.1,135.5,14.5,308.4,0.0,0.977,51.4
2024,7,Jul,Jul-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,49.42,1.626,4575,10.8,2.167,-0.541,75.0,111.0,39.0,304.1,0.0,0.977,51.4
2024,8,Agu,Agu-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,46.44,1.528,4508,10.3,1.993,-0.466,76.6,141.5,8.5,293.2,0.0,0.977,51.4
2024,9,Sep,Sep-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,43.25,1.423,3827,11.3,1.82,-0.397,78.2,204.2,0.0,271.3,0.0,0.977,51.4
2024,10,Okt,Okt-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,39.18,1.289,3957,9.9,1.693,-0.404,76.1,480.4,0.0,276.6,0.0,0.977,51.4
2024,11,Nov,Nov-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,39.29,1.292,4414,8.9,1.647,-0.354,78.5,365.0,0.0,273.7,7.2,0.977,51.4
2024,12,Des,Des-2024,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,8,Mineral,38.61,1.27,3064,12.6,1.693,-0.423,75.0,294.8,0.0,274.7,26.8,0.977,51.4
2025,1,Jan,Jan-2025,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,9,Mineral,43.14,1.419,4108,10.5,1.89,-0.471,75.1,445.7,0.0,291.2,23.8,0.977,51.4
2025,2,Feb,Feb-2025,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,9,Mineral,49.25,1.62,4209,11.7,2.07,-0.45,78.3,284.3,0.0,296.3,4.2,0.977,51.4
2025,3,Mar,Mar-2025,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,9,Mineral,51.57,1.697,4060,12.7,2.25,-0.553,75.4,531.2,0.0,311.2,0.0,0.977,51.4
2025,4,Apr,Apr-2025,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,9,Mineral,56.54,1.86,5334,10.6,2.382,-0.522,78.1,252.6,0.0,323.0,0.0,0.977,51.4
