LSU_ID,Tahun,TanggalSampling,BlokID,EstateKode,Estate,Wilayah,Afdeling,StatusKebun,LuasHa,TahunTanam,UmurTanaman,JenisTanah,Topografi,SPH,N_Persen,P_Persen,K_Persen,Mg_Persen,Ca_Persen,B_ppm,KritisN,KritisP,KritisK,KritisMg,KritisB,StatusN,StatusP,StatusK,StatusMg,StatusB,Laboratorium
LSU-00013,2025,2025-04-06,BSK-A-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.9,2014,11,Mineral,Datar,138,2.666,0.1377,1.111,0.273,0.658,15.7,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00014,2026,2026-04-22,BSK-A-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.9,2014,12,Mineral,Datar,138,2.71,0.1549,0.996,0.236,0.697,9.4,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Defisit,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00015,2025,2025-03-09,BSK-A-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.8,2014,11,Podsolik Merah Kuning,Datar,130,2.614,0.1668,1.235,0.297,0.634,13.4,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00016,2026,2026-04-15,BSK-A-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.8,2014,12,Podsolik Merah Kuning,Datar,130,2.667,0.1617,1.119,0.229,0.6,21.0,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00017,2025,2025-03-19,BSK-A-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.7,2017,8,Gambut,Berbukit,130,2.355,0.1443,0.889,0.231,0.688,11.8,2.5,0.15,1.0,0.24,15.0,Defisit,Defisit,Defisit,Defisit,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00018,2026,2026-03-06,BSK-A-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.7,2017,9,Gambut,Berbukit,130,2.669,0.1684,1.044,0.249,0.615,11.9,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Defisit,Lab Independen Nusa Analitika
LSU-00019,2025,2025-04-21,BSK-A-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.1,2015,10,Mineral,Bergelombang,136,2.581,0.165,1.113,0.233,0.651,14.1,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Defisit,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00020,2026,2026-03-27,BSK-A-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.1,2015,11,Mineral,Bergelombang,136,2.66,0.1723,1.015,0.257,0.679,15.4,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00021,2025,2025-04-11,BSK-A-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.9,2009,16,Mineral,Datar,132,2.547,0.1484,1.065,0.237,0.668,22.3,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00022,2026,2026-03-04,BSK-A-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.9,2009,17,Mineral,Datar,132,2.437,0.1742,0.849,0.219,0.615,18.0,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Defisit,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00023,2025,2025-04-24,BSK-A-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.9,2013,12,Mineral,Bergelombang,130,2.683,0.1596,1.145,0.26,0.608,17.9,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00024,2026,2026-04-09,BSK-A-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.9,2013,13,Mineral,Bergelombang,130,2.498,0.1474,0.899,0.231,0.652,13.9,2.5,0.15,1.0,0.24,15.0,Defisit,Defisit,Defisit,Defisit,Defisit,Lab Independen Nusa Analitika
LSU-00025,2025,2025-03-05,BSK-A-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.5,2011,14,Aluvial,Datar,136,2.609,0.1482,0.988,0.239,0.634,18.3,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00026,2026,2026-04-12,BSK-A-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.5,2011,15,Aluvial,Datar,136,2.672,0.1338,0.769,0.241,0.55,22.9,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00027,2025,2025-04-10,BSK-A-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.2,2017,8,Mineral,Berbukit,132,2.766,0.1492,0.978,0.265,0.712,22.1,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00028,2026,2026-03-26,BSK-A-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.2,2017,9,Mineral,Berbukit,132,2.418,0.1521,0.765,0.267,0.513,20.6,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00029,2025,2025-04-02,BSK-A-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.2,2014,11,Mineral,Datar,128,2.756,0.1706,0.995,0.297,0.652,22.5,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00030,2026,2026-03-08,BSK-A-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.2,2014,12,Mineral,Datar,128,2.521,0.1617,0.743,0.247,0.512,17.4,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00031,2025,2025-03-01,BSK-A-016,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.8,2015,10,Mineral,Berbukit,135,2.628,0.1727,0.931,0.259,0.75,19.2,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00032,2026,2026-03-23,BSK-A-016,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.8,2015,11,Mineral,Berbukit,135,2.469,0.1539,0.867,0.264,0.611,17.0,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00033,2025,2025-03-09,BSK-A-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.5,2010,15,Podsolik Merah Kuning,Datar,132,2.7,0.171,0.938,0.278,0.667,14.6,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Defisit,Lab Independen Nusa Analitika
LSU-00034,2026,2026-04-15,BSK-A-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.5,2010,16,Podsolik Merah Kuning,Datar,132,2.535,0.177,1.121,0.234,0.627,12.7,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Defisit,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00035,2025,2025-04-21,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,2019,6,Mineral,Berbukit,138,2.566,0.1622,0.951,0.226,0.52,14.3,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Defisit,Defisit,Lab Independen Nusa Analitika
LSU-00036,2026,2026-04-16,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,2019,7,Mineral,Berbukit,138,2.527,0.1721,1.054,0.288,0.595,23.0,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00037,2025,2025-03-02,BSK-A-019,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.6,2009,16,Mineral,Bergelombang,140,2.45,0.1429,0.897,0.225,0.502,15.8,2.5,0.15,1.0,0.24,15.0,Defisit,Defisit,Defisit,Defisit,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00038,2026,2026-03-16,BSK-A-019,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.6,2009,17,Mineral,Bergelombang,140,2.722,0.1291,0.984,0.273,0.592,16.1,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00039,2025,2025-04-20,BSK-A-020,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,2011,14,Gambut,Berbukit,140,2.676,0.175,0.963,0.251,0.765,12.1,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Defisit,Lab Independen Nusa Analitika
LSU-00040,2026,2026-04-12,BSK-A-020,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,2011,15,Gambut,Berbukit,140,2.444,0.1691,1.207,0.259,0.501,11.9,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Optimum,Optimum,Defisit,Lab Independen Nusa Analitika
LSU-00041,2025,2025-03-26,BSK-A-021,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.7,2007,18,Aluvial,Berbukit,132,2.84,0.1523,0.94,0.243,0.586,21.5,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00042,2026,2026-03-05,BSK-A-021,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.7,2007,19,Aluvial,Berbukit,132,2.562,0.1359,1.226,0.21,0.548,18.1,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00043,2025,2025-04-28,BSK-A-022,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,2009,16,Gambut,Datar,132,2.592,0.1413,0.906,0.236,0.662,16.2,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00044,2026,2026-04-05,BSK-A-022,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,2009,17,Gambut,Datar,132,2.817,0.1476,1.172,0.216,0.648,18.1,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Defisit,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00045,2025,2025-04-01,BSK-A-023,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.7,2015,10,Mineral,Datar,140,2.539,0.1641,0.967,0.249,0.568,16.4,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00046,2026,2026-03-24,BSK-A-023,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.7,2015,11,Mineral,Datar,140,2.594,0.1457,1.116,0.243,0.632,19.6,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00047,2025,2025-04-04,BSK-A-024,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.0,2008,17,Mineral,Datar,138,2.571,0.1563,0.899,0.253,0.553,16.8,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00048,2026,2026-04-13,BSK-A-024,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.0,2008,18,Mineral,Datar,138,2.76,0.1723,1.072,0.247,0.614,13.6,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00049,2025,2025-04-04,BSK-B-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,28.2,2019,6,Gambut,Datar,136,2.51,0.1473,1.14,0.247,0.657,13.8,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Optimum,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00050,2026,2026-03-24,BSK-B-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,28.2,2019,7,Gambut,Datar,136,2.487,0.1517,1.097,0.26,0.85,8.4,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Optimum,Optimum,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00051,2025,2025-03-01,BSK-B-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.4,2019,6,Aluvial,Bergelombang,136,2.403,0.1676,1.152,0.248,0.499,20.0,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00052,2026,2026-04-07,BSK-B-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.4,2019,7,Aluvial,Bergelombang,136,2.597,0.1535,0.708,0.264,0.705,18.5,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00053,2025,2025-04-19,BSK-B-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.1,2010,15,Podsolik Merah Kuning,Datar,138,2.608,0.1427,1.021,0.239,0.436,20.8,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00054,2026,2026-03-28,BSK-B-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.1,2010,16,Podsolik Merah Kuning,Datar,138,2.546,0.175,0.647,0.215,0.736,17.2,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Defisit,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00055,2025,2025-04-07,BSK-B-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.6,2008,17,Gambut,Bergelombang,143,2.661,0.1411,1.01,0.227,0.446,17.0,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00056,2026,2026-04-22,BSK-B-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.6,2008,18,Gambut,Bergelombang,143,2.46,0.1664,0.802,0.177,0.522,13.9,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Defisit,Defisit,Lab Independen Nusa Analitika
LSU-00057,2025,2025-03-28,BSK-B-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,27.9,2019,6,Podsolik Merah Kuning,Datar,136,2.422,0.1423,1.078,0.223,0.506,15.6,2.5,0.15,1.0,0.24,15.0,Defisit,Defisit,Optimum,Defisit,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00058,2026,2026-04-21,BSK-B-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,27.9,2019,7,Podsolik Merah Kuning,Datar,136,2.841,0.1422,0.953,0.259,0.593,15.6,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00059,2025,2025-04-03,BSK-B-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.3,2012,13,Mineral,Bergelombang,130,2.659,0.1784,1.103,0.265,0.573,18.4,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00060,2026,2026-04-26,BSK-B-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.3,2012,14,Mineral,Bergelombang,130,2.423,0.1686,0.755,0.278,0.666,22.1,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00061,2025,2025-03-16,BSK-B-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.3,2018,7,Mineral,Bergelombang,136,2.59,0.1417,0.933,0.266,0.536,16.0,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00062,2026,2026-03-17,BSK-B-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.3,2018,8,Mineral,Bergelombang,136,2.542,0.1465,0.993,0.234,0.516,14.5,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Defisit,Defisit,Lab Independen Nusa Analitika
LSU-00063,2025,2025-03-13,BSK-B-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.8,2010,15,Mineral,Datar,136,2.595,0.1622,0.793,0.238,0.588,11.1,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Defisit,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00064,2026,2026-04-01,BSK-B-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.8,2010,16,Mineral,Datar,136,2.636,0.1382,0.946,0.206,0.407,21.3,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Defisit,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00065,2025,2025-03-16,BSK-B-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.6,2014,11,Aluvial,Bergelombang,143,2.616,0.1463,0.9,0.295,0.672,16.0,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00066,2026,2026-03-19,BSK-B-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,31.6,2014,12,Aluvial,Bergelombang,143,2.597,0.1469,1.047,0.271,0.555,16.5,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00067,2025,2025-04-19,BSK-B-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.2,2012,13,Aluvial,Bergelombang,128,2.55,0.1529,0.938,0.214,0.653,21.7,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00068,2026,2026-03-26,BSK-B-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.2,2012,14,Aluvial,Bergelombang,128,2.52,0.1698,1.061,0.211,0.738,8.8,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Defisit,Defisit,Lab Independen Nusa Analitika
LSU-00069,2025,2025-04-08,BSK-B-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.6,2012,13,Podsolik Merah Kuning,Datar,130,2.568,0.1737,1.138,0.243,0.673,18.7,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00070,2026,2026-04-01,BSK-B-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.6,2012,14,Podsolik Merah Kuning,Datar,130,2.561,0.151,0.897,0.263,0.672,21.7,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00071,2025,2025-04-09,BSK-B-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,26.5,2010,15,Aluvial,Datar,128,2.475,0.1475,1.045,0.231,0.686,11.6,2.5,0.15,1.0,0.24,15.0,Defisit,Defisit,Optimum,Defisit,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00072,2026,2026-04-24,BSK-B-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,26.5,2010,16,Aluvial,Datar,128,2.459,0.1568,0.847,0.256,0.615,16.3,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00073,2025,2025-03-02,BSK-B-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.3,2010,15,Mineral,Berbukit,140,2.592,0.1538,1.148,0.256,0.638,16.3,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00074,2026,2026-03-02,BSK-B-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,25.3,2010,16,Mineral,Berbukit,140,2.472,0.167,0.72,0.169,0.601,21.3,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Defisit,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00075,2025,2025-04-18,BSK-B-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.7,2011,14,Podsolik Merah Kuning,Berbukit,136,2.516,0.1666,0.91,0.3,0.798,15.4,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00076,2026,2026-04-15,BSK-B-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.7,2011,15,Podsolik Merah Kuning,Berbukit,136,2.348,0.1637,0.913,0.255,0.544,18.6,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00077,2025,2025-03-07,BSK-B-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.1,2011,14,Podsolik Merah Kuning,Datar,143,2.628,0.1544,1.078,0.246,0.62,17.4,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00078,2026,2026-03-26,BSK-B-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,30.1,2011,15,Podsolik Merah Kuning,Datar,143,2.838,0.1428,0.857,0.215,0.646,17.0,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Defisit,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00079,2025,2025-04-13,BSK-B-016,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,24.1,2018,7,Gambut,Bergelombang,128,2.51,0.1356,1.035,0.247,0.608,12.8,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Optimum,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00080,2026,2026-03-06,BSK-B-016,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Inti,24.1,2018,8,Gambut,Bergelombang,128,2.572,0.1631,0.707,0.325,0.548,13.1,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Defisit,Lab Agronomi Pusat Palmaraya
